name,release_year,certificate,runtime,genre,director,gross,actors,production_house
The Edge of Seventeen,2016,R,104,_Comedy,Kelly Fremon Craig,NA,_Blake Jenner_Hailee Steinfeld_Haley Lu Richardson_Kyra Sedgwick_Woody Harrelson,STX Entertainment
Brooklyn Castle,2012,PG,101,_Documentary,Katie Schulz,NA,None,Producers Distribution Agency (PDA)
Logan,2017,R,137,_Thriller,James Mangold,NA,_Boyd Holbrook_Dafne Keen_Elizabeth Rodriguez_Hugh Jackman_Patrick Stewart_Richard E. Grant_Stephen Merchant,Twentieth Century Fox Film Corporation
Circo,2011,NotRated,75,_Documentary,Aaron Schock,NA,None,First Run Features
Stephanie Daley,2007,R,92,_Drama,Hilary Brougher,NA,_Amber Tamblyn_Tilda Swinton_Timothy Hutton,Regent Releasing
Water,2006,PG-13,117,_Romance,Deepa Mehta,NA,_John Abraham_Lisa Ray_Seema Biswas,Fox Searchlight Pictures
The Rape of Europa,2007,Unrated,117,_Documentary,_Bonni Cohen_Nicole Newnham_Richard Berge,NA,None,Menemsha Films
Gerald's Game,2017,TV-MA,103,_Horror,Mike Flanagan,NA,_Adalyn Jones_Ben Pronsky_Bruce Greenwood_Bryce Harper_Carel Struycken_Carla Gugino_Chiara Aurelia_Chuck Borden_Gwendolyn Mulamba_Henry Thomas_James Flanagan_Jon Arthur_Kate Siegel_Kimberly Battista_Natalie Roers_Stu Cookson_Tom Glynn_Victoria Hardway,Netflix
Home of the Brave,2004,None,75,_Documentary,Paola di Florio,NA,None,Emerging Pictures
Bukowski: Born into This,2004,R,130,_Documentary,John Dullaghan,NA,None,Magnolia Pictures
Monsoon Wedding,2002,R,114,_Romance,Mira Nair,NA,_Lillete Dubey_Naseeruddin Shah,"Criterion Collection, The"
Italian for Beginners,2002,R,112,_Romance,Lone Scherfig,NA,_Anders W. Berthelsen_Ann Eleonora Jørgensen,Buena Vista Home Entertainment (BVHE)
Louder Than a Bomb,2011,NotRated,99,_Documentary,_Greg Jacobs_Jon Siskel,NA,None,Balcony Releasing
A Christmas Story,1983,PG,94,_Family,Bob Clark,NA,Peter Billingsley,American Broadcasting Company (ABC)
The Big Easy,1987,R,102,_Crime,Jim McBride,NA,_Dennis Quaid_Ellen Barkin,Columbia Pictures
Code Black,2014,NotRated,78,_Documentary,Ryan McGarry,NA,None,Long Shot Factory
24 Frames,2018,NotRated,114,_Drama,Abbas Kiarostami,NA,None,Janus Films
Dheepan,2016,R,115,_Crime,Jacques Audiard,NA,None,Sundance Selects
Career Girls,1997,R,87,_Drama,Mike Leigh,NA,_Katrin Cartlidge_Lynda Steadman,October Films
Breaking the Waves,1996,R,159,_Romance,Lars von Trier,NA,Emily Watson,October Films
The Disaster Artist,2017,R,104,_Comedy,James Franco,NA,_Adam Scott_Alison Brie_Ari Graynor_Brett Gelman_Bryan Cranston_Dave Franco_Dylan Minnette_Eliza Coupe_J.J. Abrams_Jacki Weaver_James Franco_Jason Mantzoukas_Josh Hutcherson_June Diane Raphael_Kate Upton_Kristen Bell_Lizzy Caplan_Megan Mullally_Melanie Griffith_Paul Scheer_Seth Rogen_Sugar Lyn Beard_Tommy Wiseau_Zac Efron_Zoey Deutch,A24
A Touch of Sin,2013,NotRated,133,_Drama,Zhang Ke Jia,NA,None,Koch Lorber Films
Bill Cunningham New York,2011,None,84,_Documentary,Richard Press,NA,_Anna Wintour_Bill Cunningham,Zeitgeist Films
Lo and Behold: Reveries of the Connected World,2016,NotRated,98,_Documentary,Werner Herzog,NA,_Elon Musk_Kevin Mitnick_Lawrence Krauss_Lucianne Walkowicz,Magnolia Pictures
Service (Serbis),2009,R,90,_Drama,Brillante Mendoza,NA,None,Regent Releasing
Keep Quiet,2017,None,90,_Documentary,_Joseph Martin_Sam Blair,NA,None,Kino Lorber
Dig!,2004,R,107,_Documentary,Ondi Timoner,NA,_Anton Newcombe_Courtney Taylor-Taylor,Palm Pictures
A Poem Is a Naked Person,2015,NotRated,90,_Documentary,Les Blank,NA,None,Janus Films
Broken Embraces,2009,R,127,_Romance,Pedro Almodóvar,NA,_Blanca Portillo_Lluís Homar_Penélope Cruz,Sony Pictures Classics
Kandahar,2001,None,81,_War,Mohsen Makhmalbaf,NA,_Hassan Tantai_Nelofer Pazira,NEJ International Pictures
Rosetta,1999,R,95,_Drama,_Jean-Pierre Dardenne_Luc Dardenne,NA,None,USA Films
Smoke Signals,1998,TV-14,89,_Comedy,Chris Eyre,NA,_Adam Beach_Evan Adams,Miramax Films
Grosse Pointe Blank,1997,R,107,_Crime,George Armitage,NA,_Dan Aykroyd_Joan Cusack_John Cusack_Minnie Driver,Buena Vista Pictures Distribution
Blue Caprice,2013,R,93,_Crime,Alexandre Moors,NA,_Isaiah Washington_Joey Lauren Adams_Tequan Richmond_Tim Blake Nelson,Sundance Selects
"3 1/2 Minutes, 10 Bullets",2015,NotRated,98,_News,Marc Silver,NA,None,Participant Media
Spettacolo,2017,NotRated,91,_Documentary,_Chris Shellen_Jeff Malmberg,NA,_Alpo Mangiavacchi_Andrea Cresti_Arturo Vignai_Chiara Del Ciondolo_Daniele Mangiavacchi_Denise Rappuoli_Gianna Fiore_Gianpiero Giglioni_Nagis Grappi,Grasshopper Film
Maggie's Plan,2016,R,98,_Romance,Rebecca Miller,NA,_Bill Hader_Ethan Hawke_Greta Gerwig_Julianne Moore_Maya Rudolph_Travis Fimmel,Sony Pictures Classics
The Sure Thing,1985,PG-13,100,_Romance,Rob Reiner,NA,_Daphne Zuniga_John Cusack,Embassy Pictures
Adventureland,2009,R,107,_Romance,Greg Mottola,NA,_Jesse Eisenberg_Kristen Stewart,Miramax Films
Every Little Step,2009,PG-13,None,_Documentary,_Adam Del Deo_James D. Stern,NA,None,Sony Pictures Classics
Did You Wonder Who Fired the Gun?,2018,NR,90,_Documentary,Travis Wilkerson,NA,None,Grasshopper Film
Testament of Youth,2015,PG-13,129,_War,James Kent,NA,_Alicia Vikander_Colin Morgan_Dominic West_Emily Watson_Kit Harington_Taron Egerton,Sony Pictures Classics
Like Someone in Love,2013,NotRated,109,_Drama,Abbas Kiarostami,NA,_Rin Takanashi_Ryo Kase_Tadashi Okuno,IFC Films
Beats Rhymes & Life: The Travels of a Tribe Called Quest,2011,R,95,_Documentary,Michael Rapaport,NA,None,Sony Pictures Classics
Sid and Nancy,1986,R,112,_Music,Alex Cox,NA,_Chloe Webb_Gary Oldman,"Criterion Collection, The"
Lady Macbeth,2017,NotRated,89,_Drama,William Oldroyd,NA,_Anton Palmer_Christopher Fairbank_Cliff Burnett_Cosmo Jarvis_Fleur Houdijk_Florence Pugh_Golda Rosheuvel_Naomi Ackie_Paul Hilton_Rebecca Manley,Roadside Attractions
Inside Man,2006,R,129,_Crime,Spike Lee,NA,_Clive Owen_Denzel Washington_Jodie Foster,Universal Pictures
Fifi Howls from Happiness,2014,NotRated,96,_Documentary,Mitra Farahani,NA,None,Music Box Films
The Miseducation of Cameron Post,,NotRated,90,_Drama,Desiree Akhavan,NA,_Chloë Grace Moretz_Christopher Dylan White_Forrest Goodluck_Jennifer Ehle_John Gallagher Jr._Kerry Butler_Marin Ireland_Owen Campbell_Quinn Shephard_Sasha Lane,
Chico & Rita,2012,NotRated,94,_Animation,_Fernando Trueba_Javier Mariscal_Tono Errando,NA,None,Magic Light Pictures
Something in the Air,2013,NotRated,122,_Drama,Olivier Assayas,NA,_André Marcon_Carole Combes_Cl_Felix Armand_Hugo Conzelmann_India Menuez_L_Lola Créton_Martin Loizillon_Mathias Renou,IFC Films
Rebirth,2011,NotRated,104,_Documentary,James Whitaker,NA,None,Oscilloscope Pictures
Ain't in It for My Health: A Film About Levon Helm,2013,NotRated,None,_Documentary,Jacob Hatley,NA,None,Kino Lorber
Lost in America,1985,R,91,_Comedy,Albert Brooks,NA,_Albert Brooks_Julie Hagerty,Guardian Television Network (GTN)
The Hunter,2012,NotRated,90,_Thriller,Rafi Pitts,NA,None,Olive Films
Lore,2013,NotRated,109,_War,Cate Shortland,NA,_André Frid_Hans-Jochen Wagner_Kai-Peter Malina_Mika Seidel_Nele Trebs_Saskia Rosendahl_Ursina Lardi,Music Box Films
In America,2003,TV-MA,105,_Romance,Jim Sheridan,NA,_Djimon Hounsou_Paddy Considine_Samantha Morton,Fox Searchlight Pictures
Morning Sun,2003,None,117,_Documentary,_Carma Hinton_Geramie Barmé_Richard Gordon,NA,None,None
Jesus' Son,2000,R,107,_Drama,Alison Maclean,NA,Billy Crudup,Lions Gate Films
Princess Mononoke,1999,TV-14,134,_Animation,Hayao Miyazaki,NA,_Yôji Matsuda_Yûko Tanaka_Yuriko Ishida,Miramax Films
Donnie Brasco,1997,R,127,_Crime,Mike Newell,NA,_Al Pacino_Johnny Depp,TriStar Pictures
When Harry Met Sally...,1989,R,96,_Romance,Rob Reiner,NA,_Billy Crystal_Meg Ryan,Columbia Pictures
Hoosiers,1986,PG,114,_Sport,David Anspaugh,NA,_Barbara Hershey_Gene Hackman,Orion Pictures Corporation
Hara-Kiri: Death of a Samurai,2012,NotRated,126,_Drama,Takashi Miike,NA,None,Tribeca Film
The Army of Crime,2010,None,139,_War,Robert Guédiguian,NA,None,Lorber Films
Escape from Alcatraz,1979,PG,112,_Crime,Don Siegel,NA,_Bruce M. Fischer_Clint Eastwood_Frank Ronzio_Fred Stuthman_Fred Ward_Jack Thibeau_Larry Hankin_Patrick McGoohan_Paul Benjamin_Roberts Blossom,Paramount Pictures
Dirty Wars,2013,NotRated,87,_Documentary,Rick Rowley,NA,Jeremy Scahill,IFC Films
Machuca,2005,None,121,_Drama,Andrés Wood,NA,None,Menemsha Entertainment
Boyz n the Hood,1991,R,112,_Crime,John Singleton,NA,None,Columbia Pictures
Night School,2017,Unrated,85,_Documentary,Andrew Cohn,NA,_Greg Henson_Melissa Lewis_Shynika Jakes,Oscilloscope
3:10 to Yuma,2007,R,122,_Western,James Mangold,NA,_Ben Foster_Christian Bale_Russell Crowe,Lionsgate
Jane Eyre,2011,PG-13,115,_Romance,Cary Fukunaga,NA,_Jamie Bell_Mia Wasikowska_Michael Fassbender,Focus Features
Actress,2014,NotRated,86,_Documentary,Robert Greene,NA,None,Cinema Guild
A Monster Calls,2016,PG-13,108,_Fantasy,Juan Antonio Bayona,NA,_Felicity Jones_Lewis MacDougall_Liam Neeson_Sigourney Weaver_Toby Kebbell,Focus Features
Machines,2017,NotRated,71,_Documentary,Rahul Jain,NA,None,Pallas Film
Buck,2011,PG,88,_Documentary,Cindy Meehl,NA,None,Sundance Selects
And Everything Is Going Fine,2010,None,None,_Documentary,Steven Soderbergh,NA,None,Magnolia Home Entertainment
Their Finest,2017,R,117,_War,Lone Scherfig,NA,None,EuropaCorp USA
Creepy,2016,NotRated,130,_Thriller,Kiyoshi Kurosawa,NA,None,Kimstim Films
Syriana,2005,R,126,_Thriller,Stephen Gaghan,NA,_Amanda Peet_George Clooney_Matt Damon,Warner Bros. Pictures
Silent Souls,2011,NotRated,75,_Drama,Aleksei Fedorchenko,NA,None,Shadow Distribution
Djomeh,2001,None,94,None,Hassan Yektapanah,NA,_Jalil Nazari_Rashid Akbari,New Yorker Films
Heat,1995,R,170,_Crime,Michael Mann,NA,_Al Pacino_Jon Voight_Robert De Niro_Val Kilmer,Warner Bros. Pictures
Guardians of the Galaxy,2014,PG-13,121,_Sci-Fi,James Gunn,NA,_Bradley Cooper_Chris Pratt_Dave Bautista_Lee Pace_Vin Diesel_Zoe Saldana,Walt Disney Studios Motion Pictures
The Baader Meinhof Complex,2009,R,150,_Crime,Uli Edel,NA,_Johanna Wokalek_Martina Gedeck_Moritz Bleibtreu_Nadja Uhl,Vitagraph Films
Roman Holiday,1953,Passed,118,_Romance,William Wyler,NA,_Audrey Hepburn_Eddie Albert_Gregory Peck,Paramount Pictures
It Felt Like Love,2014,NotRated,82,_Drama,Eliza Hittman,NA,None,Variance Films
Blue Velvet,1986,R,120,_Thriller,David Lynch,NA,_Dennis Hopper_Isabella Rossellini_Kyle MacLachlan,De Laurentiis Entertainment Group (DEG)
Intimate Stories,2005,Unrated,92,_Comedy,Carlos Sorin,NA,None,Domain Entertainment
Dreamgirls,2006,PG-13,130,_Musical,Bill Condon,NA,_Beyoncé Knowles_Eddie Murphy_Jamie Foxx,DreamWorks SKG
The Road Warrior,1982,R,94,_Thriller,George Miller,NA,Mel Gibson,Warner Bros.
Dogtown and Z-Boys,2002,PG-13,91,_Documentary,Stacy Peralta,NA,Sean Penn,Sony Pictures Classics
Escape from New York,1981,R,99,_Sci-Fi,John Carpenter,NA,_Kurt Russell_Lee Van Cleef,Embassy Pictures
The Death and Life of Marsha P. Johnson,2017,TV-MA,105,_Documentary,David France,NA,_Eddie DeGrand_Frances Baugh_Jacques Garon_Jimmy Camicia_Marsha P. Johnson_Matt Foreman_Michael Baden_Rev. Pat Bumgardner_Sylvia Rivera_Victoria Cruz,Netflix
Flight,2012,R,138,_Drama,Robert Zemeckis,NA,_Bruce Greenwood_Denzel Washington_Nadine Velazquez,Paramount Pictures
99 Homes,2015,R,112,_Thriller,Ramin Bahrani,NA,_Andrew Garfield_Clancy Brown_Laura Dern_Michael Shannon_Noah Lomax,Broad Green Pictures
Father of My Children,2010,None,110,_Drama,Mia Hansen-Løve,NA,None,IFC Films
The Lunchbox,2014,PG,104,_Romance,Ritesh Batra,NA,_Irrfan Khan_Lillete Dubey_Nimrat Kaur_Nowaz,Sony Pictures Classics
The Light of the Moon,2017,NotRated,90,_Drama,Jessica M. Thompson,NA,_Cara Loften_Catherine Curtin_Christian Barber_Cindy Cheung_Conrad Ricamora_Craig Walker_Heather Simms_Jessica M. Thompson_Michael Stahl-David_Olga Merediz_Stephanie Beatriz_Susan Heyward,Imagination Worldwide
The Death of Louis XIV,2017,NotRated,115,_History,Albert Serra,NA,None,"Cinema Guild, The"
Tokyo Waka: A City Poem,2013,NotRated,63,_News,_John Haptas_Kristine Samuelson,NA,None,
This Ain't California,2013,NotRated,90,_Documentary,Marten Persiel,NA,None,
Living in Emergency: Stories of Doctors Without Borders,2010,None,93,_Documentary,Mark N. Hopkins,NA,None,Truly Indie
Shine a Light,2008,PG-13,122,_Documentary,Martin Scorsese,NA,_Keith Richards_Mick Jagger,Paramount Vantage
A Very Long Engagement,2004,R,133,_War,Jean-Pierre Jeunet,NA,_Audrey Tautou_Gaspard Ulliel_Jodie Foster,Warner Independent Pictures (WIP)
This So-Called Disaster: Sam Shepard Directs the Late Henry Moss,2004,R,89,_Documentary,Michael Almereyda,NA,_Nick Nolte_Sam Shepard_Sean Penn,IFC Films
Blue Car,2003,R,96,_Drama,Karen Moncrieff,NA,_Agnes Bruckner_David Strathairn_Margaret Colin,Miramax Films
The Sleepy Time Gal,2002,R,108,_Drama,Christopher Munch,NA,_Jacqueline Bisset_Martha Plimpton,Sundance Channel Home Entertainment
Ratcatcher,2000,NotRated,94,_Drama,Lynne Ramsay,NA,None,First Look International
Chuck & Buck,2000,R,96,_Comedy,Miguel Arteta,NA,_Chris Weitz_Mike White,Artisan Entertainment
La Ciudad (The City),1999,None,88,_Drama,David Riker,NA,None,Zeitgeist Films
Menace II Society,1993,Unrated,97,_Crime,_Albert Hughes_Allen Hughes,NA,_Larenz Tate_Tyrin Turner,Black Entertainment Television (BET)
Cartel Land,2015,R,100,_Documentary,Matthew Heineman,NA,None,"Orchard, The"
Soul Power,2009,PG-13,93,_Documentary,Jeffrey Levy-Hinte,NA,_Don King_James Brown_Muhammad Ali,Sony Pictures Classics
An Honest Liar,2015,NotRated,90,_Documentary,_Justin Weinstein_Tyler Measom,NA,None,Abramorama
Songs from the Second Floor,2002,NotRated,98,_Comedy,Roy Andersson,NA,None,New Yorker Films
Shotgun Stories,2008,PG-13,92,_Thriller,Jeff Nichols,NA,None,International Film Circuit
Anita O'Day: The Life of a Jazz Singer,2008,None,90,_Documentary,_Ian McCrudden_Robbie Cavolina,NA,None,None
Soul Kitchen,2010,None,99,_Comedy,Fatih Akin,NA,None,IFC Films
Housebound,2014,NotRated,107,_Comedy,Gerard Johnstone,NA,None,XLrator Media
Children of the Revolution,1997,R,101,_Comedy,Peter Duncan,NA,_Judy Davis_Sam Neill,Miramax Films
The Student,2017,NotRated,118,_Drama,Kirill Serebrennikov,NA,None,
The Dog,2014,NotRated,100,_Documentary,_Allison Berg_Frank Keraudren,NA,None,Drafthouse Films
We Steal Secrets: The Story of WikiLeaks,2013,NotRated,130,_Documentary,Alex Gibney,NA,_Adrian Lamo_Julian Assange,Focus World
Cinévardaphoto,2005,None,96,_Documentary,Agnès Varda,NA,None,None
Midnight Special,2016,PG-13,112,_Thriller,Jeff Nichols,NA,None,Warner Bros.
Spa Night,2016,NotRated,93,_Drama,Andrew Ahn,NA,None,Strand Releasing
The Unforeseen,2008,NotRated,88,_Documentary,Laura Dunn,NA,None,Cinema Guild
Undertow,2010,None,100,_Drama,Javier Fuentes-León,NA,None,Wolfe Releasing
Tickled,2016,R,92,_Documentary,_David Farrier_Dylan Reeve,NA,_David Farrier_Dylan Reeve,Magnolia Pictures
Japan,2003,Unrated,122,_Drama,Carlos Reygadas,NA,None,Tartan
Zhantai,2003,None,154,_History,Zhang Ke Jia,NA,_Hongwei Wang_Tao Zhao,Empire Pictures Inc.
Brothers,2005,R,117,_War,Susanne Bier,NA,_Connie Nielsen_Nikolaj Lie Kaas_Ulrich Thomsen,Focus Features
The Last Station,2009,R,112,_History,Michael Hoffman,NA,_Christopher Plummer_Helen Mirren_James McAvoy,Sony Pictures Classics
The Guest,2014,R,99,_Thriller,Adam Wingard,NA,_Dan Stevens_Joel Moore_Leland Orser_Maika Monroe_Sheila Kelley,Picturehouse
Margin Call,2011,R,105,_Thriller,J.C. Chandor,NA,None,Roadside Attractions
Listen Up Philip,2014,NotRated,108,_Drama,Alex Ross Perry,NA,_Elisabeth Moss_Jason Schwartzman_Jonathan Pryce_Joséphine de La Baume_Krysten Ritter,Tribeca Film
Regular Lovers,2007,None,183,_Drama,Philippe Garrel,NA,None,Zeitgeist Films
The Ritchie Boys,2006,None,90,_Documentary,Christian Bauer,NA,None,Menemsha Films
The Wonders,2015,Unrated,110,_Drama,Alice Rohrwacher,NA,_Alba Rohrwacher_Maria Alexandra Lungu_Sabine Timoteo_Sam Louwyck,Oscilloscope Laboratories
World on a Wire (1973),2011,NotRated,205,_Crime,Rainer Werner Fassbinder,NA,_Barbara Valentin_Karl Heinz Vosgerau_Klaus Löwitsch_Mascha Rabben,Janus Films
Wonder Woman,2017,PG-13,141,_War,Patty Jenkins,NA,_Chris Pine_Connie Nielsen_Danny Huston_David Thewlis_Eugene Brave Rock_Ewen Bremner_Gal Gadot_Lucy Davis_Robin Wright_Saïd Taghmaoui,Warner Bros.
The Breadwinner,2017,PG-13,94,_Family,Nora Twomey,NA,_Ali Badshah_Ali Kazmi_Kane Mahon_Kanza Feris_Kawa Ada_Laara Sadiq_Noorin Gulamgaus_Saara Chaudry_Shaista Latif_Soma Bhatia,Gkids
The Hidden Blade,2006,R,132,_Romance,Yôji Yamada,NA,_Masatoshi Nagase_Takako Matsu,Tartan
The Iron Ministry,2015,NotRated,82,_Documentary,J.P. Sniadecki,NA,None,Icarus Films
(500) Days of Summer,2009,PG-13,95,_Romance,Marc Webb,NA,_Joseph Gordon-Levitt_Zooey Deschanel,Fox Searchlight Pictures
Me and You and Everyone We Know,2005,R,91,_Comedy,Miranda July,NA,None,IFC Films
The Secret Lives of Dentists,2003,R,104,_Drama,Alan Rudolph,NA,_Campbell Scott_Denis Leary_Hope Davis,Manhattan Pictures International
The Revenant,2015,R,156,_Western,Alejandro González Iñárritu,NA,_Domhnall Gleeson_Forrest Goodluck_Leonardo DiCaprio_Tom Hardy_Will Poulter,Twentieth Century Fox Film Corporation
Shaun of the Dead,2004,R,99,_Comedy,Edgar Wright,NA,_Kate Ashfield_Nick Frost_Simon Pegg,Focus Features
La grande strada azzurra,2001,None,99,_Romance,_Gillo Pontecorvo_Maleno Malenotti,NA,_Alida Valli_Yves Montand,Milestone Film & Video
Madadayo,2000,None,134,_Drama,Akira Kurosawa,NA,None,"Criterion Collection, The"
The Virgin Suicides,2000,R,97,_Mystery,Sofia Coppola,NA,_Josh Hartnett_Kirsten Dunst,Paramount Home Video
Night Across the Street,2013,NotRated,110,_Drama,Raoul Ruiz,NA,None,Cinema Guild
House Party,1990,R,100,_Music,Reginald Hudlin,NA,_Christopher Reid_Robin Harris,New Line Cinema
Safe,1995,R,119,_Drama,Todd Haynes,NA,_Julianne Moore_Xander Berkeley,Sony Pictures Classics
Stronger,2017,R,119,_Drama,David Gordon Green,NA,_Acei Martin_Bennett Deady_Brina_Carlos Sanz_Clancy Brown_Danny McCarthy_Frankie Shaw_J.P. Valenti_Jake Gyllenhaal_John Pollono_Kate Fitzgerald_Lenny Clarke_Maggie Castle_Michelle Romano_Miranda Richardson_Nate Richman_Owen Burke_Patty O'Neil_Richard Lane Jr._Tatiana Maslany,Lionsgate
Horses of God,2014,NotRated,115,_Drama,Nabil Ayouch,NA,None,Kino Lorber
Afternoon of a Faun: Tanaquil Le Clercq,2014,NotRated,91,_Documentary,Nancy Buirski,NA,None,Kino Lorber
Wild,2014,R,115,_Drama,Jean-Marc Vallée,NA,_Gaby Hoffmann_Laura Dern_Michiel Huisman_Reese Witherspoon,Fox Searchlight Pictures
The Dance of Reality,2014,NotRated,130,_Fantasy,Alejandro Jodorowsky,NA,None,ABKCO Films
Reds,1981,PG,195,_Romance,Warren Beatty,NA,_Diane Keaton_Warren Beatty,Paramount Pictures
"Not Quite Hollywood: The Wild, Untold Story of Ozploitation!",2009,R,103,_Documentary,Mark Hartley,NA,None,Magnet Releasing
Obvious Child,2014,R,84,_Romance,Gillian Robespierre,NA,_Cindy Cheung_David Cross_Gabe Liedman_Gaby Hoffmann_Jake Lacy_Jenny Slate_Paul Briganti_Polly Draper_Richard Kind,A24
Tim's Vermeer,2013,NotRated,80,_Documentary,Teller,NA,_Penn Jillette_Tim Jenison,Sony Pictures Classics
Standing in the Shadows of Motown,2002,PG,116,_Documentary,Paul Justman,NA,_Jack Ashford_Joe Hunter_Uriel Jones,Artisan Entertainment
Iris,2001,R,91,_Romance,Richard Eyre,NA,_Jim Broadbent_Judi Dench,Miramax Films
The Original Kings of Comedy,2000,R,115,_Documentary,Spike Lee,NA,_Bernie Mac_Cedric the Entertainer_D.L. Hughley_Steve Harvey,Paramount Home Video
The Last Days of Disco,1998,R,113,_Music,Whit Stillman,NA,_Chloë Sevigny_Chris Eigeman_Kate Beckinsale,Gramercy Pictures (I)
Chevalier,2016,NotRated,105,_Comedy,Athina Rachel Tsangari,NA,_Efthymis Papadimitriou_Giannis Drakopoulos_Giorgos Pyrpassopoulos_Kostas Filippoglou_Nikos Orphanos_Panos Koronis_Sakis Rouvas_Vangelis Mourikis_Yiorgos Kendros,Strand Releasing
Reality,2013,R,116,_Comedy,Matteo Garrone,NA,_Aniello Arena_Claudia Gerini_Giuseppina Cervizzi_Loredana Simioli_Nando Paone_Nello Iorio_Nunzia Schiano_Paola Minaccioni_Raffaele Ferrante_Rosaria D'Urso,Oscilloscope Pictures
Witness,1985,R,112,_Romance,Peter Weir,NA,_Harrison Ford_Kelly McGillis_Lukas Haas,Paramount Pictures
How to Train Your Dragon 2,2014,PG,102,_Family,Dean DeBlois,NA,_America Ferrera_Cate Blanchett_Christopher Mintz-Plasse_Craig Ferguson_Gerard Butler_Jay Baruchel_Jonah Hill_Kristen Wiig,Paramount Pictures
The Animation Show 2005,2005,NotRated,85,_Animation,None,NA,None,The Animation Show
Thoroughbreds,2018,NotRated,92,_Thriller,Cory Finley,NA,_Anton Yelchin_Anya Taylor-Joy_Chaunty Spillane_Francie Swift_Kaili Vernoff_Lauren Laperriere_Leah Procito_Max Ripley_Odin Lowe_Olivia Cooke_Paul Sparks_Stephanie Atkinson_Svetlana Orlova_Thomas Dings,Focus Features
The Loneliest Planet,2012,NotRated,113,_Thriller,Julia Loktev,NA,_Bidzina Gujabidze_Gael García Bernal_Hani Furstenberg,IFC Films
The Secret of NIMH,1982,G,82,_Family,Don Bluth,NA,_Arthur Malet_Derek Jacobi_Dom DeLuise_Elizabeth Hartman_Hermione Baddeley_Ian Fried_Jodi Hicks_John Carradine_Shannen Doherty_Wil Wheaton,United Artists
Nanking,2007,R,88,_Documentary,_Bill Guttentag_Dan Sturman,NA,None,thinkfilm
Full Metal Jacket,1987,R,116,_War,Stanley Kubrick,NA,_Matthew Modine_R. Lee Ermey_Vincent D'Onofrio,Warner Bros. Pictures
Black Souls,2015,NotRated,103,_Drama,Francesco Munzi,NA,None,Vitagraph Films
What We Do in the Shadows,2015,NotRated,86,_Comedy,_Jemaine Clement_Taika Waititi,NA,_Cori Gonzalez-Macuer_Jemaine Clement_Jonathan Brugh_Taika Waititi,Unison Films
10 Cloverfield Lane,2016,PG-13,104,_Horror,Dan Trachtenberg,NA,_John Gallagher Jr._John Goodman_Mary Elizabeth Winstead,Paramount Pictures
Bobby Fischer Against the World,2011,NotRated,93,_Documentary,Liz Garbus,NA,None,Home Box Office (HBO)
A Dangerous Method,2011,R,99,_Thriller,David Cronenberg,NA,None,Sony Pictures Classics
Ghost in the Shell,1996,TV-MA,83,_Animation,Mamoru Oshii,NA,_Atsuko Tanaka_Iemasa Kayumi,Palm Pictures
Rabbit Hole,2010,PG-13,91,_Drama,John Cameron Mitchell,NA,_Aaron Eckhart_Dianne Wiest_Nicole Kidman,Lionsgate
The Last of the Mohicans,1992,R,112,_War,Michael Mann,NA,_Daniel Day-Lewis_Madeleine Stowe,Twentieth Century Fox Film Corporation
American Gangster,2007,R,157,_Crime,Ridley Scott,NA,_Denzel Washington_Russell Crowe,Universal Pictures
The Royal Tenenbaums,2001,R,110,_Comedy,Wes Anderson,NA,_Gene Hackman_Gwyneth Paltrow,Buena Vista Pictures
Mud,2013,PG-13,130,_Drama,Jeff Nichols,NA,_Jacob Lofland_Matthew McConaughey_Michael Shannon_Reese Witherspoon_Sam Shepard_Sarah Paulson_Tye Sheridan,Lionsgate
Nightcrawler,2014,R,117,_Crime,Dan Gilroy,NA,_Bill Paxton_Jake Gyllenhaal_Rene Russo,Open Road Films (II)
The Far Side of the Moon,2005,None,105,_Drama,Robert Lepage,NA,None,Alliance Atlantis Vivafilm
The Last Emperor,1987,TV-14,163,_History,Bernardo Bertolucci,NA,_Joan Chen_John Lone_Peter O'Toole,Columbia Pictures
The Hunger Games: Catching Fire,2013,PG-13,146,_Thriller,Francis Lawrence,NA,_Jennifer Lawrence_Josh Hutcherson_Liam Hemsworth_Philip Seymour Hoffman,Lionsgate
Submarine,2011,R,97,_Comedy,Richard Ayoade,NA,None,"Weinstein Company, The"
Marguerite,2016,R,129,_Drama,Xavier Giannoli,NA,_André Marcon_Catherine Frot_Christa Theret_Michel Fau,Cohen Media Group
Superbad,2007,R,113,_Comedy,Greg Mottola,NA,_Christopher Mintz-Plasse_Jonah Hill_Michael Cera,Columbia Pictures
Into the Inferno,2016,NotRated,104,_Documentary,Werner Herzog,NA,None,Netflix
Sophie Scholl: The Final Days,2006,None,120,_War,Marc Rothemund,NA,_Fabian Hinrichs_Julia Jentsch,Zeitgeist Films
The Lovers,2017,R,97,_Comedy,Azazel Jacobs,NA,_Aidan Gillen_Debra Winger_Jessica Sula_Melora Walters_Tracy Letts_Tyler Ross,
A Hard Day,2015,NotRated,111,_Crime,Seong-hoon Kim,NA,None,Kino Lorber
Happy Valley,2014,NotRated,98,_Documentary,Amir Bar-Lev,NA,None,Music Box Films
Is the Man Who Is Tall Happy?,2013,NotRated,88,_Documentary,Michel Gondry,NA,_Michel Gondry_Noam Chomsky,IFC Films
Dead Man's Burden,2013,NotRated,93,_Western,Jared Moshe,NA,None,Cinedigm Entertainment Group
