name,release_year,certificate,runtime,genre,director,gross,actors,production_house
Creed,2015,PG-13,133,_Sport,Ryan Coogler,NA,_Michael B. Jordan_Phylicia Rashad_Sylvester Stallone_Tessa Thompson,Warner Bros.
La Camioneta: The Journey of One American School Bus,2013,NotRated,None,_Documentary,Mark Kendall,NA,None,Emerging Pictures
Monsieur Lazhar,2012,PG-13,94,_Comedy,Philippe Falardeau,NA,_Danielle Proulx_Émilien Néron_Mohamed Fellag_Sophie Nélisse,Music Box Films
Venus,2006,R,95,_Romance,Roger Michell,NA,_Jodie Whittaker_Leslie Phillips_Peter O'Toole,Miramax Films
Nowhere to Hide,2017,NotRated,86,_Documentary,Zaradasht Ahmed,NA,_Abu Fallah_Hans Husum_Mudhafar_Nori Sharif,
The Second Mother,2015,R,112,_Drama,Anna Muylaert,NA,_Helena Albergaria_Regina Casé,Oscilloscope Pictures
These Birds Walk,2013,NotRated,71,_News,_Bassam Tariq_Omar Mullick,NA,None,Oscilloscope Pictures
Rivers and Tides: Andy Goldsworthy Working with Time,2002,TV-G,90,_Documentary,Thomas Riedelsheimer,NA,None,Roxie Releasing
Ajami,2010,None,120,_Drama,_Scandar Copti_Yaron Shani,NA,None,Kino International
Viola,2013,NotRated,65,_Drama,Mat,NA,_Agustina Mu_Alessio Rigo de Righi_Elisa Carricajo_Esteban Bigliardi_Gabriela Saidon_Juli_Julia Mart_Laura Paredes_Mar_Romina Paula,Cinema Guild
127 Hours,2010,R,94,_Thriller,Danny Boyle,NA,_Amber Tamblyn_James Franco_Kate Mara,Fox Searchlight Pictures
Tell No One,2008,Unrated,131,_Crime,Guillaume Canet,NA,None,Music Box Films
The Illusionist,2010,PG,80,_Animation,Sylvain Chomet,NA,_Didier Gustin_Edith Rankin_Frédéric Lebon_Jean-Claude Donda,Sony Pictures Classics
The Deep Blue Sea,2012,R,98,_Romance,Terence Davies,NA,_Rachel Weisz_Tom Hiddleston,Music Box Films
The End of the Tour,2015,R,106,_Drama,James Ponsoldt,NA,_Anna Chlumsky_Jason Segel_Jesse Eisenberg_Joan Cusack_Mamie Gummer_Mickey Sumner_Ron Livingston,A24
Enron: The Smartest Guys in the Room,2005,R,109,_Documentary,Alex Gibney,NA,None,Magnolia Pictures
Forrest Gump,1994,PG-13,142,_Romance,Robert Zemeckis,NA,_Gary Sinise_Robin Wright_Sally Field_Tom Hanks,Paramount Pictures
Ornette: Made in America (1985),2012,NotRated,85,_Documentary,Shirley Clarke,NA,None,Milestone Film & Video
"Good Bye, Dragon Inn",2004,None,82,_Comedy,Ming-liang Tsai,NA,None,Wellspring Media
Safe Conduct,2002,None,170,_War,Bertrand Tavernier,NA,None,Empire Pictures Inc.
Leaving Las Vegas,1995,R,111,_Romance,Mike Figgis,NA,_Elisabeth Shue_Nicolas Cage,MGM Home Entertainment
War for the Planet of the Apes,2017,PG-13,140,_War,Matt Reeves,NA,_Amiah Miller_Andy Serkis_Gabriel Chavarria_Karin Konoval_Michael Adamthwaite_Steve Zahn_Terry Notary_Toby Kebbell_Ty Olsson_Woody Harrelson,Twentieth Century Fox Film Corporation
Duma,2005,PG,100,_Family,Carroll Ballard,NA,_Alex Michaeletos_Campbell Scott_Hope Davis,Warner Bros. Pictures
The Constant Gardener,2005,R,129,_Romance,Fernando Meirelles,NA,_Danny Huston_Rachel Weisz_Ralph Fiennes,Focus Features
Short Term 12,2013,R,96,_Drama,Destin Cretton,NA,_Alex Calloway_Brie Larson_Frantz Turner_John Gallagher Jr._Kaitlyn Dever_Kevin Hernandez_Lakeith Stanfield_Lydia Du Veaux_Rami Malek_Stephanie Beatriz,Cinedigm
Parenthood,1989,PG-13,124,_Comedy,Ron Howard,NA,Steve Martin,Universal Pictures
Star Wars: Episode V - The Empire Strikes Back,1980,PG,124,_Sci-Fi,Irvin Kershner,NA,_Carrie Fisher_Harrison Ford_Mark Hamill,Twentieth Century Fox Film Corporation
Our Beloved Month of August,2010,NotRated,147,_Music,Miguel Gomes,NA,None,FiGa Films
Sugar,2009,R,120,_Sport,_Anna Boden_Ryan Fleck,NA,Algenis Perez Soto,HBO Films
The Wind That Shakes the Barley,2007,NotRated,127,_War,Ken Loach,NA,_Cillian Murphy_Liam Cunningham_Padraic Delaney,IFC First Take
Face/Off,1997,R,138,_Crime,John Woo,NA,_John Travolta_Nicolas Cage,Paramount Pictures
The Lobster,2016,R,119,_Romance,Giorgos Lanthimos,NA,_Colin Farrell_Jessica Barden_Olivia Colman_Rachel Weisz,A24
Pride & Prejudice,2005,PG,127,_Romance,Joe Wright,NA,_Brenda Blethyn_Donald Sutherland_Keira Knightley_Matthew MacFadyen,Focus Features
The Squid and the Whale,2005,R,81,_Comedy,Noah Baumbach,NA,None,Samuel Goldwyn Films
Winged Migration,2003,G,89,_Documentary,_Jacques Cluzaud_Jacques Perrin_Michel Debats,NA,Jacques Perrin,Sony Pictures Classics
Quince Tree of the Sun,2000,None,133,_Documentary,Víctor Erice,NA,None,Facets Multimedia Distribution
The Nightmare Before Christmas,1993,PG,76,_Musical,Henry Selick,NA,_Catherine O'Hara_Chris Sarandon_Danny Elfman_William Hickey,Buena Vista Pictures
The School of Rock,2003,PG-13,108,_Family,Richard Linklater,NA,_Jack Black_Joan Cusack_Mike White,Paramount Pictures
Star Trek,2009,PG-13,127,_Sci-Fi,J.J. Abrams,NA,_Chris Pine_Simon Pegg_Zachary Quinto,Paramount Pictures
Frances Ha,2013,R,86,_Comedy,Noah Baumbach,NA,_Adam Driver_Greta Gerwig_Michael Zegen_Mickey Sumner_Patrick Heusinger,IFC Films
The Namesake,2007,PG-13,122,_Drama,Mira Nair,NA,_Irrfan Khan_Kal Penn_Tabu,Fox Searchlight Pictures
A Hijacking,2013,R,103,_Thriller,Tobias Lindholm,NA,None,Magnolia Pictures
In the Family,2012,NotRated,169,_Drama,Patrick Wang,NA,None,In the Family Productions
Hunger,2008,None,96,_History,Steve McQueen,NA,None,IFC Films
Cold Comfort Farm,1996,PG,95,_Romance,John Schlesinger,NA,_Eileen Atkins_Kate Beckinsale_Sheila Burrell_Stephen Fry,Gramercy Pictures (I)
Dear Zachary: A Letter to a Son About His Father,2008,NotRated,95,_Documentary,Kurt Kuenne,NA,None,Oscilloscope Pictures
Anvil! The Story of Anvil,2009,Unrated,80,_Documentary,Sacha Gervasi,NA,_Robb Reiner_Steve 'Lips' Kudlow_Tiziana Arrigoni,Abramorama
The Trip,2011,NotRated,109,_Comedy,Michael Winterbottom,NA,None,IFC Films
Harry Potter and the Prisoner of Azkaban,2004,PG,141,_Family,Alfonso Cuarón,NA,_Daniel Radcliffe_Rupert Grint,Warner Bros. Pictures
La Promesse (The Promise),1997,NotRated,93,_Drama,_Jean-Pierre Dardenne_Luc Dardenne,NA,_Assita Ouedraogo_Jérémie Renier_Olivier Gourmet,New Yorker Films
Our Time Will Come,2017,NotRated,130,_War,Ann Hui,NA,_Deannie Yip_Eddie Peng_Joman Chiang_Siu-Fai Cheung_Stanley Sui-Fan Fung_Tao Guo_Tony Leung Ka Fai_Wallace Huo_Xun Zhou_Zhi-zhong Huang,China Lion Film Distribution
Levitated Mass,2014,NotRated,88,_News,Doug Pray,NA,None,First Run Features
Michael Clayton,2007,R,119,_Crime,Tony Gilroy,NA,_George Clooney_Tilda Swinton_Tom Wilkinson,Warner Bros. Pictures
Downfall,2005,R,156,_War,Oliver Hirschbiegel,NA,_Alexandra Maria Lara_Bruno Ganz_Corinna Harfouch_Juliane Köhler_Ulrich Matthes,Newmarket Films
The Spectacular Now,2013,R,95,_Romance,James Ponsoldt,NA,_Andre Royo_Bob Odenkirk_Brie Larson_Jennifer Jason Leigh_Kyle Chandler_Mary Elizabeth Winstead_Miles Teller_Shailene Woodley,A24
Let the Right One In,2008,R,115,_Romance,Tomas Alfredson,NA,_Kåre Hedebrant_Lina Leandersson_Per Ragnar,Magnet Releasing
Rams,2016,NotRated,93,_Drama,Grímur Hákonarson,NA,None,Cohen Media Group
Certified Copy,2011,Unrated,106,_Drama,Abbas Kiarostami,NA,None,IFC Films
The Celebration,1998,R,105,_Drama,Thomas Vinterberg,NA,_Henning Moritzen_Ulrich Thomsen,October Films
Taxi to the Dark Side,2008,R,106,_Documentary,Alex Gibney,NA,None,thinkfilm
Nuts!,2016,NotRated,79,_Documentary,Penny Lane,NA,None,Netflix
The Love Witch,2016,NotRated,120,_Comedy,Anna Biller,NA,_Gian Keys_Jeffrey Vincent Parise_Laura Waddell_Samantha Robinson,Oscilloscope
Marjorie Prime,2017,NotRated,99,_Comedy,Michael Almereyda,NA,_Azumi Tsutsui_Bill Walters_Geena Davis_Hana Colley_Hannah Gross_Jon Hamm_Leslie Lyles_Lois Smith_Stephanie Andujar_Tim Robbins,FilmRise
Down and Out in Beverly Hills,1986,R,103,_Comedy,Paul Mazursky,NA,_Bette Midler_Nick Nolte_Richard Dreyfuss,Buena Vista Pictures
Footnote,2012,PG,103,_Drama,Joseph Cedar,NA,_Aliza Rosen_Lior Ashkenazi_Shlomo Bar-Aba,Sony Pictures Classics
Steve Jobs,2015,R,122,_Drama,Danny Boyle,NA,_Jeff Daniels_Kate Winslet_Michael Fassbender_Seth Rogen,Universal Pictures
Marley,2012,PG-13,144,_Documentary,Kevin Macdonald,NA,_Bob Marley_Jimmy Cliff_Lee Perry_Ziggy Marley,Magnolia Pictures
The White Ribbon,2009,R,144,_Crime,Michael Haneke,NA,_Christian Friedel_Ernst Jacobi_Leonie Benesch,Sony Pictures Classics
The Agronomist,2004,PG-13,90,_Documentary,Jonathan Demme,NA,None,thinkfilm
Touching the Void,2004,R,106,_Documentary,Kevin Macdonald,NA,_Brendan Mackey_Joe Simpson_Nicholas Aaron_Simon Yates,IFC Films
Three Kings,1999,R,114,_War,David O. Russell,NA,_George Clooney_Mark Wahlberg,Warner Bros. Pictures
Rachel Getting Married,2008,R,113,_Romance,Jonathan Demme,NA,_Anne Hathaway_Rosemarie DeWitt,Sony Pictures Classics
Certain Women,2016,R,107,_Drama,Kelly Reichardt,NA,_James LeGros_Kristen Stewart_Laura Dern_Michelle Williams,IFC Films
Le Havre,2011,NotRated,103,_Comedy,Aki Kaurismäki,NA,None,Janus Films
To Be Heard,2011,NotRated,86,_Documentary,_Amy Sultan_Deborah Shaffer_Edwin Martinez_Roland Legiardi-Laura,NA,None,ITVS
Skate Kitchen,,NotRated,100,_Drama,Crystal Moselle,NA,_Darlene Violette_Elizabeth Rodriguez_Jaden Smith_John Palumbo_Judah Lang_Rachelle Vinberg_Samuel Smith_Tashiana Washington_Taylor Gray_Thaddeus Daniels,Magnolia Pictures
Chicago,2002,PG-13,113,_Musical,Rob Marshall,NA,_Catherine Zeta Jones_Renée Zellweger_Richard Gere,Miramax Films
Embrace of the Serpent,2016,NotRated,125,_History,Ciro Guerra,NA,_Antonio Bolivar_Brionne Davis_Jan Bijvoet_Luigi Sciamanna_Nicolás Cancino_Nilbio Torres_Yauenkü Migue,Oscilloscope Pictures
Under African Skies,2012,NotRated,108,_Documentary,Joe Berlinger,NA,None,A&E; IndieFilms
Sieranevada,2017,NotRated,173,_Family,Cristi Puiu,NA,_Ana Ciontea_Bogdan Dumitrache_Catalina Moga_Dana Dogaru_Judith State_Marin Grigore_Mimi Branescu_Rolando Matsangos_Sorin Medeleni_Tatiana Iekel,
Side by Side,2012,NotRated,99,_Documentary,Christopher Kenneally,NA,None,Tribeca Film
Days of Glory,2006,R,120,_War,Rachid Bouchareb,NA,_Roschdy Zem_Sami Bouajila_Samy Naceri,IFC Films
My Summer of Love,2005,R,86,_Romance,Pawel Pawlikowski,NA,_Emily Blunt_Natalie Press_Paddy Considine,Focus Features
Approaching the Elephant,2015,NotRated,89,_Documentary,Amanda Wilder,NA,None,Wilder Films
"Flamenco, Flamenco",2014,NotRated,97,_Documentary,Carlos Saura,NA,None,Dada Films
Archipelago,2014,NotRated,114,_Drama,Joanna Hogg,NA,None,Kino Lorber
Mysteries of Lisbon,2011,NotRated,272,_Mystery,Raoul Ruiz,NA,None,Music Box Films
Mademoiselle Chambon,2010,None,101,_Romance,Stéphane Brizé,NA,None,Lorber Films
Burma VJ: Reporter i et lukket land,2009,Unrated,84,_Documentary,Anders Østergaard,NA,None,Home Box Office (HBO)
The Dark Knight,2008,PG-13,152,_Crime,Christopher Nolan,NA,_Aaron Eckhart_Christian Bale_Heath Ledger,Warner Bros. Pictures
Memories of Murder,2005,Unrated,132,_Crime,Joon-ho Bong,NA,None,Palm Pictures
The Return,2004,Unrated,105,_Drama,Andrei Zvyagintsev,NA,None,Kino International
Lilya 4-Ever,2003,R,109,_Crime,Lukas Moodysson,NA,_Artyom Bogucharsky_Oksana Akinshina_Pavel Ponomaryov,Newmarket Films
Read My Lips,2002,R,115,_Crime,Jacques Audiard,NA,None,Magnolia Pictures
Get Shorty,1995,R,105,_Crime,Barry Sonnenfeld,NA,_Danny DeVito_Gene Hackman_John Travolta_Rene Russo,Metro-Goldwyn-Mayer (MGM)
A Gentle Creature,,NotRated,160,_Drama,Sergei Loznitsa,NA,None,
Frozen River,2008,R,97,_Crime,Courtney Hunt,NA,_Charlie McDermott_Melissa Leo_Misty Upham,Sony Pictures Classics
Drugstore Cowboy,1989,R,102,_Crime,Gus Van Sant,NA,_Kelly Lynch_Matt Dillon,Avenue Pictures Productions
Heal the Living,2017,NotRated,103,_Drama,Katell Quillévéré,NA,None,Cohen Media Group
Love Is Strange,2014,R,94,_Drama,Ira Sachs,NA,_Alfred Molina_Charlie Tahan_Darren E. Burrows_John Lithgow_Marisa Tomei,Sony Pictures Classics
The Girl Without Hands,2017,NotRated,76,_Animation,Sébastien Laudenbach,NA,_Anaïs Demoustier_Elina Löwensohn_Françoise Lebrun_Jérémie Elkaïm_Olivier Broche_Philippe Laudenbach_Sacha Bourdo,Gkids
The Twilight Samurai,2004,None,129,_Romance,Yôji Yamada,NA,None,None
Concert for George,2003,PG-13,146,_Documentary,David Leland,NA,None,ArenaPlex LLC
