_id,ltable_id,rtable_id,ltable_name,ltable_release_year,ltable_director,ltable_actors,ltable_runtime,rtable_name,rtable_release_year,rtable_director,rtable_actors,rtable_runtime
324,a760,b9,moonlight,2016,Barry Jenkins,Mahershala Ali Naomie Harris Trevante Rhodes Alex R. Hibbert,111,moonlight,2016,Barry Jenkins,Alex R. Hibbert Ashton Sanders Duan Sanderson Herman 'Caheei McGloun Jaden Piner Janelle Monáe Mahershala Ali Naomie Harris Shariff Earp,111
346,a408,b11,vertigo,1958,Alfred Hitchcock,James Stewart Kim Novak Barbara Bel Geddes Tom Helmore,128,north by northwest,1959,Alfred Hitchcock,Adam Williams Cary Grant Edward Platt Eva Marie Saint James Mason Jessie Royce Landis Josephine Hutchinson Leo G. Carroll Martin Landau Philip Ober,136
349,a510,b11,north by northwest,1959,Alfred Hitchcock,Cary Grant Eva Marie Saint James Mason Jessie Royce Landis,136,north by northwest,1959,Alfred Hitchcock,Adam Williams Cary Grant Edward Platt Eva Marie Saint James Mason Jessie Royce Landis Josephine Hutchinson Leo G. Carroll Martin Landau Philip Ober,136
352,a1539,b12,all about eve,1950,Joseph L. Mankiewicz,Bette Davis Anne Baxter George Sanders Celeste Holm,138,all about eve,1950,Joseph L. Mankiewicz,Anne Baxter Barbara Bates Bette Davis Celeste Holm Gary Merrill George Sanders Gregory Ratoff Hugh Marlowe Marilyn Monroe Thelma Ritter,138
464,a2469,b14,my left foot,1989,Jim Sheridan,Daniel Day-Lewis Brenda Fricker Alison Whelan Kirsten Sheridan,103,my left foot,1990,Jim Sheridan,Brenda Fricker Daniel Day-Lewis,103
475,a522,b15,gone with the wind,1939,Victor Fleming George Cukor Sam Wood,Clark Gable Vivien Leigh Thomas Mitchell Barbara O'Neil,238,gone with the wind,1940,George Cukor Sam Wood Victor Fleming,Vivien Leigh,238
538,a1162,b17,the apartment,1960,Billy Wilder,Jack Lemmon Shirley MacLaine Fred MacMurray Ray Walston,125,some like it hot,1959,Billy Wilder,Billy Gray George E. Stone George Raft Jack Lemmon Joan Shawlee Joe E. Brown Marilyn Monroe Nehemiah Persoff Pat O'Brien Tony Curtis,121
539,a687,b17,some like it hot,1959,Billy Wilder,Marilyn Monroe Tony Curtis Jack Lemmon George Raft,121,some like it hot,1959,Billy Wilder,Billy Gray George E. Stone George Raft Jack Lemmon Joan Shawlee Joe E. Brown Marilyn Monroe Nehemiah Persoff Pat O'Brien Tony Curtis,121
546,a164,b18,psycho,1960,Alfred Hitchcock,Anthony Perkins Janet Leigh Vera Miles John Gavin,109,psycho,1960,Alfred Hitchcock,Anthony Perkins Janet Leigh,109
591,a2089,b19,american graffiti,1973,George Lucas,Richard Dreyfuss Ron Howard Paul Le Mat Charles Martin Smith,110,american graffiti,1973,George Lucas,Bo Hopkins Candy Clark Charles Martin Smith Cindy Williams Mackenzie Phillips Manuel Padilla Jr. Paul Le Mat Richard Dreyfuss Ron Howard Wolfman Jack,110
599,a136,b21,12 years a slave,2013,Steve McQueen,Chiwetel Ejiofor Michael Kenneth Williams Michael Fassbender Brad Pitt,134,12 years a slave,2013,Steve McQueen,Alfre Woodard Benedict Cumberbatch Brad Pitt Chiwetel Ejiofor Garret Dillahunt Michael Fassbender Michael K. Williams Paul Dano Paul Giamatti Sarah Paulson,134
622,a134,b22,12 angry men,1957,Sidney Lumet,Henry Fonda Lee J. Cobb Martin Balsam John Fiedler,96,12 angry men,1957,Sidney Lumet,Henry Fonda Lee J. Cobb,96
630,a788,b23,manchester by the sea,2016,Kenneth Lonergan,Casey Affleck Michelle Williams Kyle Chandler Lucas Hedges,137,manchester by the sea,2016,Kenneth Lonergan,Casey Affleck Kyle Chandler Lucas Hedges Michelle Williams,137
643,a951,b24,rosemary s baby,1968,Roman Polanski,Mia Farrow John Cassavetes Ruth Gordon Sidney Blackmer,137,rosemary s baby,1968,Roman Polanski,John Cassavetes Mia Farrow,137
670,a1157,b25,the maltese falcon,1941,John Huston,Humphrey Bogart Mary Astor Gladys George Peter Lorre,100,the maltese falcon,1941,John Huston,Barton MacLane Elisha Cook Jr. Gladys George Humphrey Bogart Jerome Cowan Lee Patrick Mary Astor Peter Lorre Sydney Greenstreet Ward Bond,100
790,a244,b26,dr  strangelove or  how i learned to stop worrying and love the bomb,1964,Stanley Kubrick,Peter Sellers George C. Scott Sterling Hayden Keenan Wynn,95,dr  strangelove or  how i learned to stop worrying and love the bomb,1964,Stanley Kubrick,George C. Scott Peter Sellers,95
801,a135,b27,ratatouille,2007,Brad Bird Jan Pinkava,Brad Garrett Lou Romano Patton Oswalt Ian Holm,111,ratatouille,2007,Brad Bird,Brad Garrett Lou Romano Patton Oswalt,111
820,a77,b28,gravity,2013,Alfonso Cuarón,Sandra Bullock George Clooney Ed Harris Orto Ignatiussen,91,gravity,2013,Alfonso Cuarón,George Clooney Sandra Bullock,91
825,a156,b29,spirited away,2001,Hayao Miyazaki Kirk Wise,Daveigh Chase Suzanne Pleshette Miyu Irino Rumi Hiiragi,125,spirited away,2002,Hayao Miyazaki,Miyu Irino,125
834,a285,b30,beauty and the beast,1991,Gary Trousdale Kirk Wise,Paige O'Hara Robby Benson Jesse Corti Rex Everhart,84,beauty and the beast,1991,Gary Trousdale Kirk Wise,Paige O'Hara Robby Benson,84
860,a1698,b31,carol,2015,Todd Haynes,Cate Blanchett Rooney Mara Sarah Paulson Kyle Chandler,118,carol,2015,Todd Haynes,Cate Blanchett Cory Michael Smith Jake Lacy John Magaro Kyle Chandler Rooney Mara Sarah Paulson,118
882,a60,b32,toy story,1995,John Lasseter,Tom Hanks Tim Allen Don Rickles Jim Varney,81,toy story,1995,John Lasseter,Tim Allen Tom Hanks,81
1155,a2010,b33,the grapes of wrath,1940,John Ford,Henry Fonda Jane Darwell John Carradine Charley Grapewin,129,the grapes of wrath,1940,John Ford,Charley Grapewin Dorris Bowdon Eddie Quillan Henry Fonda Jane Darwell John Carradine John Qualen O.Z. Whitehead Russell Simpson Zeffie Tilbury,129
1195,a132,b34,the social network,2010,David Fincher,Jesse Eisenberg Andrew Garfield Justin Timberlake Rooney Mara,120,the social network,2010,David Fincher,Andrew Garfield Jesse Eisenberg Justin Timberlake,120
1293,a1311,b37,double indemnity,1944,Billy Wilder,Fred MacMurray Barbara Stanwyck Edward G. Robinson Byron Barr,107,double indemnity,1944,Billy Wilder,Barbara Stanwyck Byron Barr Edward G. Robinson Fortunio Bonanova Fred MacMurray Jean Heather John Philliber Porter Hall Richard Gaines Tom Powers,107
1294,a548,b38,zero dark thirty,2012,Kathryn Bigelow,Jessica Chastain Joel Edgerton Chris Pratt Mark Strong,157,zero dark thirty,2012,Kathryn Bigelow,Chris Pratt Édgar Ramírez Jason Clarke Jennifer Ehle Jessica Chastain Joel Edgerton Mark Strong,157
1311,a45,b40,wall  e,2008,Andrew Stanton,Ben Burtt Elissa Knight Jeff Garlin Fred Willard,98,wall e,2008,Andrew Stanton,Ben Burtt Elissa Knight Jeff Garlin,98
1348,a1336,b41,before midnight,2013,Richard Linklater,Ethan Hawke Julie Delpy Seamus Davey-Fitzpatrick Ariane Labed,109,before midnight,2013,Richard Linklater,Ariane Labed Athina Rachel Tsangari Ethan Hawke Julie Delpy Seamus Davey-Fitzpatrick Walter Lassally Xenia Kalogeropoulou,109
1390,a267,b42,dunkirk,2017,Christopher Nolan,Fionn Whitehead Barry Keoghan Mark Rylance Tom Hardy,106,dunkirk,2017,Christopher Nolan,Aneurin Barnard Barry Keoghan Damien Bonnard Fionn Whitehead Harry Styles Jack Lowden James Bloor Lee Armstrong Mark Rylance Tom Glynn-Carney Tom Hardy,106
1499,a2405,b43,the man who shot liberty valance,1962,John Ford,James Stewart John Wayne Vera Miles Lee Marvin,123,the man who shot liberty valance,1962,John Ford,Andy Devine Edmond O'Brien James Stewart Jeanette Nolan John Carradine John Qualen John Wayne Ken Murray Lee Marvin Vera Miles,123
1614,a2242,b45,the manchurian candidate,1962,John Frankenheimer,Frank Sinatra Laurence Harvey Janet Leigh Angela Lansbury,126,the manchurian candidate,1962,John Frankenheimer,Frank Sinatra Laurence Harvey,126
1724,a5,b46,pulp fiction,1994,Quentin Tarantino,John Travolta Uma Thurman Samuel L. Jackson Bruce Willis,154,pulp fiction,1994,Quentin Tarantino,Bruce Willis John Travolta Samuel L. Jackson,154
1777,a268,b49,the hurt locker,2008,Kathryn Bigelow,Jeremy Renner Anthony Mackie Brian Geraghty Guy Pearce,131,the hurt locker,2009,Kathryn Bigelow,Anthony Mackie Brian Geraghty Jeremy Renner,131
1787,a176,b50,inside out,2015,Pete Docter Ronnie Del Carmen,Amy Poehler Bill Hader Lewis Black Mindy Kaling,95,inside out,2015,Pete Docter Ronaldo Del Carmen,Amy Poehler Bill Hader Lewis Black Mindy Kaling Phyllis Smith,94
1795,a907,b51,sideways,2004,Alexander Payne,Paul Giamatti Thomas Haden Church Virginia Madsen Sandra Oh,126,sideways,2004,Alexander Payne,Paul Giamatti Sandra Oh Thomas Haden Church Virginia Madsen,126
1806,a151,b52,apocalypse now,1979,Francis Ford Coppola,Martin Sheen Marlon Brando Robert Duvall Frederic Forrest,147,apocalypse now,1979,Francis Ford Coppola,Marlon Brando Martin Sheen,153
1954,a1488,b54,lady bird,2017,Greta Gerwig,Saoirse Ronan Laurie Metcalf Tracy Letts Lucas Hedges,94,lady bird,2017,Greta Gerwig,Andy Buckley Beanie Feldstein Danielle Macdonald Jake McDorman Jordan Rodrigues Kathryn Newton Kristen Cloke Laura Marano Laurie Metcalf Lois Smith Lucas Hedges Odeya Rush Saoirse Ronan Stephen Henderson Timoth Tracy Letts,94
1959,a9,b55,the lord of the rings  the return of the king,2003,Peter Jackson,Elijah Wood Viggo Mortensen Ian McKellen Orlando Bloom,201,the lord of the rings  the return of the king,2003,Peter Jackson,Andy Serkis Orlando Bloom,201
2047,a1881,b58,amour,2012,Michael Haneke,Jean-Louis Trintignant Emmanuelle Riva Isabelle Huppert Alexandre Tharaud,127,amour,2012,Michael Haneke,Emmanuelle Riva Isabelle Huppert Jean-Louis Trintignant,127
2153,a353,b63,spotlight,2015,Tom McCarthy,Mark Ruffalo Michael Keaton Rachel McAdams Liev Schreiber,128,spotlight,2015,Thomas McCarthy,John Slattery Liev Schreiber Mark Ruffalo Michael Keaton Rachel McAdams Stanley Tucci,128
2169,a24,b64,schindler s list,1993,Steven Spielberg,Liam Neeson Ralph Fiennes Ben Kingsley Caroline Goodall,195,schindler s list,1993,Steven Spielberg,Liam Neeson Ralph Fiennes,195
2217,a1678,b65,call me by your name,2017,Luca Guadagnino,Armie Hammer Timothée Chalamet Michael Stuhlbarg Amira Casar,132,call me by your name,2017,Luca Guadagnino,Amira Casar Antonio Rimoldi Armie Hammer Elena Bucci Esther Garrel Marco Sgrosso Michael Stuhlbarg Timoth Vanda Capriolo Victoire Du Bois,132
2230,a287,b67,la la land,2016,Damien Chazelle,Ryan Gosling Emma Stone Rosemarie DeWitt J.K. Simmons,128,la la land,2016,Damien Chazelle,Emma Stone J.K. Simmons Rosemarie DeWitt Ryan Gosling,128
2243,a1321,b68,inside llewyn davis,2013,Ethan Coen Joel Coen,Oscar Isaac Carey Mulligan John Goodman Garrett Hedlund,104,inside llewyn davis,2013,Ethan Coen Joel Coen,Carey Mulligan Garrett Hedlund John Goodman Justin Timberlake Oscar Isaac,104
2315,a207,b70,there will be blood,2007,Paul Thomas Anderson,Daniel Day-Lewis Paul Dano Ciarán Hinds Martin Stringer,158,there will be blood,2007,Paul Thomas Anderson,Daniel Day-Lewis,158
2354,a2982,b73,days of heaven,1978,Terrence Malick,Richard Gere Brooke Adams Sam Shepard Linda Manz,94,days of heaven,1978,Terrence Malick,Brooke Adams Richard Gere,94
2412,a2337,b78,the king of comedy,1982,Martin Scorsese,Robert De Niro Jerry Lewis Diahnne Abbott Sandra Bernhard,109,raging bull,1980,Martin Scorsese,Cathy Moriarty Joe Pesci Robert De Niro,0
2425,a467,b78,raging bull,1980,Martin Scorsese,Robert De Niro Cathy Moriarty Joe Pesci Frank Vincent,129,raging bull,1980,Martin Scorsese,Cathy Moriarty Joe Pesci Robert De Niro,0
2440,a332,b79,platoon,1986,Oliver Stone,Charlie Sheen Tom Berenger Willem Dafoe Keith David,120,platoon,1987,Oliver Stone,Tom Berenger Willem Dafoe,120
2494,a1917,b81,gremlins 2  the new batch,1990,Joe Dante,Zach Galligan Phoebe Cates John Glover Robert Prosky,106,brother s keeper,1992,Bruce Sinofsky Joe Berlinger,Dave Goff Delbert Ward Harry Thurston John Teeple Joseph F. Loszynski Ken Elmer Lyman Ward Ralph A. Cognetti Roscoe Ward Walt Geisler,104
2537,a590,b85,annie hall,1977,Woody Allen,Woody Allen Diane Keaton Tony Roberts Carol Kane,93,annie hall,1977,Woody Allen,Diane Keaton Woody Allen,93
2544,a1303,b85,manhattan,1979,Woody Allen,Woody Allen Diane Keaton Mariel Hemingway Michael Murphy,96,annie hall,1977,Woody Allen,Diane Keaton Woody Allen,93
2555,a7,b86,the lord of the rings  the fellowship of the ring,2001,Peter Jackson,Elijah Wood Ian McKellen Orlando Bloom Sean Bean,178,the lord of the rings  the fellowship of the ring,2001,Peter Jackson,Andy Serkis Elijah Wood,178
2559,a12,b86,the lord of the rings  the two towers,2002,Peter Jackson,Elijah Wood Ian McKellen Viggo Mortensen Orlando Bloom,179,the lord of the rings  the fellowship of the ring,2001,Peter Jackson,Andy Serkis Elijah Wood,178
2640,a2769,b89,the best years of our lives,1946,William Wyler,Myrna Loy Dana Andrews Fredric March Teresa Wright,170,the best years of our lives,1946,William Wyler,Cathy O'Donnell Dana Andrews Fredric March Gladys George Harold Russell Hoagy Carmichael Myrna Loy Roman Bohnen Teresa Wright Virginia Mayo,170
2670,a86,b91,toy story 3,2010,Lee Unkrich,Tom Hanks Tim Allen Joan Cusack Ned Beatty,103,toy story 3,2010,Lee Unkrich,Tim Allen Tom Hanks,103
2686,a1108,b97,cool hand luke,1967,Stuart Rosenberg,Paul Newman George Kennedy Strother Martin J.D. Cannon,126,cool hand luke,1967,Stuart Rosenberg,Clifton James George Kennedy J.D. Cannon Jo Van Fleet Lou Antonio Luke Askew Morgan Woodward Paul Newman Robert Drivas Strother Martin,126
2817,a2295,b98,the african queen,1951,John Huston,Humphrey Bogart Katharine Hepburn Robert Morley Peter Bull,105,the african queen,1952,John Huston,Errol John Gerald Onn Humphrey Bogart Katharine Hepburn Peter Bull Peter Swanwick Richard Marner Robert Morley Theodore Bikel Walter Gotell,105
2830,a2864,b99,the triplets of belleville,2003,Sylvain Chomet,Michèle Caucheteux Jean-Claude Donda Michel Robin Monica Viegas,78,the triplets of belleville,2003,Sylvain Chomet,Jean-Claude Donda Michel Robin Michèle Caucheteux Monica Viegas,78
2845,a1605,b100,the queen,2006,Stephen Frears,Helen Mirren Michael Sheen James Cromwell Alex Jennings,103,the queen,2006,Stephen Frears,Helen Mirren James Cromwell,103
3120,a2159,b106,do the right thing,1989,Spike Lee,Danny Aiello Ossie Davis Ruby Dee Richard Edson,120,do the right thing,1989,Spike Lee,Danny Aiello Ossie Davis Ruby Dee,120
3126,a2701,b107,waltz with bashir,2008,Ari Folman,Ari Folman Ron Ben-Yishai Ronny Dayag Ori Sivan,90,waltz with bashir,2008,Ari Folman,Ari Folman Ron Ben-Yishai Ronny Dayag,90
3177,a1790,b110,patton,1970,Franklin J. Schaffner,George C. Scott Karl Malden Stephen Young Michael Strong,172,patton,1970,Franklin J. Schaffner,George C. Scott Karl Malden,172
3199,a66,b111,no country for old men,2007,Ethan Coen Joel Coen,Tommy Lee Jones Javier Bardem Josh Brolin Woody Harrelson,122,no country for old men,2007,Ethan Coen Joel Coen,Javier Bardem Josh Brolin Tommy Lee Jones,122
3231,a2868,b115,after hours,1985,Martin Scorsese,Griffin Dunne Rosanna Arquette Verna Bloom Tommy Chong,97,after hours,1985,Martin Scorsese,Griffin Dunne Rosanna Arquette,97
3259,a2890,b117,the crying game,1992,Neil Jordan,Stephen Rea Jaye Davidson Forest Whitaker Miranda Richardson,112,the crying game,1992,Neil Jordan,Forest Whitaker Jaye Davidson Stephen Rea,112
3265,a1236,b118,winter s bone,2010,Debra Granik,Jennifer Lawrence John Hawkes Garret Dillahunt Isaiah Stone,100,winter s bone,2010,Debra Granik,Garret Dillahunt Jennifer Lawrence John Hawkes,100
3292,a954,b121,close encounters of the third kind,1977,Steven Spielberg,Richard Dreyfuss François Truffaut Teri Garr Melinda Dillon,138,close encounters of the third kind,1977,Steven Spielberg,François Truffaut Richard Dreyfuss Teri Garr,135
3328,a182,b122,l a  confidential,1997,Curtis Hanson,Kevin Spacey Russell Crowe Guy Pearce Kim Basinger,138,l a  confidential,1997,Curtis Hanson,Guy Pearce Kevin Spacey Kim Basinger Russell Crowe,138
3364,a978,b123,about a boy,2002,Chris Weitz Paul Weitz,Hugh Grant Nicholas Hoult Toni Collette Sharon Small,101,bloody sunday,2002,Paul Greengrass,James Nesbitt Nicholas Farrell Tim Pigott-Smith,107
3427,a216,b125,her,2013,Spike Jonze,Joaquin Phoenix Amy Adams Scarlett Johansson Rooney Mara,126,her,2013,Spike Jonze,Amy Adams Chris Pratt Joaquin Phoenix Olivia Wilde Rooney Mara Samantha Morton Scarlett Johansson,126
3431,a2577,b126,badlands,1973,Terrence Malick,Martin Sheen Sissy Spacek Warren Oates Ramon Bieri,94,badlands,1973,Terrence Malick,Martin Sheen Sissy Spacek,94
3444,a22,b127,saving private ryan,1998,Steven Spielberg,Tom Hanks Matt Damon Tom Sizemore Edward Burns,169,saving private ryan,1998,Steven Spielberg,Matt Damon Tom Hanks,169
3528,a47,b132,finding nemo,2003,Andrew Stanton Lee Unkrich,Albert Brooks Ellen DeGeneres Alexander Gould Willem Dafoe,100,finding nemo,2003,Andrew Stanton Lee Unkrich,Albert Brooks Alexander Gould Ellen DeGeneres,100
3603,a2088,b135,king kong,1933,Merian C. Cooper Ernest B. Schoedsack,Fay Wray Robert Armstrong Bruce Cabot Frank Reicher,100,king kong,1933,Ernest B. Schoedsack Merian C. Cooper,Bruce Cabot Fay Wray Frank Reicher James Flavin King Kong Noble Johnson Robert Armstrong Sam Hardy Steve Clemente Walter Ackerman,100
3606,a130,b136,the incredibles,2004,Brad Bird,Craig T. Nelson Samuel L. Jackson Holly Hunter Jason Lee,115,the incredibles,2004,Brad Bird,Craig T. Nelson Holly Hunter Jason Lee Samuel L. Jackson,115
3672,a756,b137,before sunset,2004,Richard Linklater,Ethan Hawke Julie Delpy Vernon Dobtcheff Louise Lemoine Torrès,80,before sunset,2004,Richard Linklater,Ethan Hawke Julie Delpy,80
3682,a446,b138,being john malkovich,1999,Spike Jonze,John Cusack Cameron Diaz Catherine Keener John Malkovich,112,being john malkovich,1999,Spike Jonze,Cameron Diaz Catherine Keener John Cusack John Malkovich,112
3689,a586,b141,almost famous,2000,Cameron Crowe,Billy Crudup Patrick Fugit Kate Hudson Frances McDormand,122,almost famous,2000,Cameron Crowe,Billy Crudup,122
3727,a2991,b142,phantom thread,2017,Paul Thomas Anderson,Vicky Krieps Daniel Day-Lewis Lesley Manville Sue Clark,130,phantom thread,2017,Paul Thomas Anderson,Bern Collaco Camilla Rutherford Cedric Tylleman Daniel Day-Lewis Dave Simon Dinah Nicholson Elli Banks Harriet Leitch Ingrid Sophie Schram Jack Gordon Jane Perry Jason Redshaw Joan Brown Julie Duck Kelly Schembri Lesley Manville Maryanne Frost Pip Phillips Richard Graham Sarah Lamesch Sue Clark Vicky Krieps,130
3843,a2925,b144,american splendor,2003,Shari Springer Berman Robert Pulcini,Paul Giamatti Shari Springer Berman Harvey Pekar Chris Ambrose,101,american splendor,2003,Robert Pulcini Shari Springer Berman,Harvey Pekar Paul Giamatti Shari Springer Berman,101
3866,a2419,b145,hannah and her sisters,1986,Woody Allen,Mia Farrow Dianne Wiest Michael Caine Barbara Hershey,107,hannah and her sisters,1986,Woody Allen,Barbara Hershey Dianne Wiest Mia Farrow Michael Caine Woody Allen,103
3896,a2092,b146,gosford park,2001,Robert Altman,Maggie Smith Ryan Phillippe Michael Gambon Kristin Scott Thomas,131,gosford park,2001,Robert Altman,Maggie Smith Ryan Phillippe,137
3952,a1677,b148,united 93,2006,Paul Greengrass,David Alan Basche Olivia Thirlby Liza Colón-Zayas J.J. Johnson,111,united 93,2006,Paul Greengrass,David Alan Basche Liza Colón-Zayas,111
4029,a68,b149,mad max  fury road,2015,George Miller,Tom Hardy Charlize Theron Nicholas Hoult Zoë Kravitz,120,mad max  fury road,2015,George Miller,Charlize Theron John Howard Nathan Jones Nicholas Hoult Riley Keough Tom Hardy Zoë Kravitz,120
4123,a2220,b151,collateral damage,2002,Andrew Davis,Arnold Schwarzenegger John Leguizamo Francesca Neri Elias Koteas,108,capturing the friedmans,2003,Andrew Jarecki,Arnold Friedman David Friedman Elaine Friedman Jesse Friedman,107
4183,a52,b152,the truman show,1998,Peter Weir,Jim Carrey Ed Harris Laura Linney Noah Emmerich,103,the truman show,1998,Peter Weir,Jim Carrey,103
4279,a235,b153,american hustle,2013,David O. Russell,Christian Bale Amy Adams Bradley Cooper Jennifer Lawrence,138,american hustle,2013,David O. Russell,Alessandro Nivola Amy Adams Bradley Cooper Christian Bale Jennifer Lawrence Jeremy Renner Louis C.K. Robert De Niro,138
4335,a974,b153,the judge,2014,David Dobkin,Robert Downey Jr. Robert Duvall Vera Farmiga Billy Bob Thornton,141,american hustle,2013,David O. Russell,Alessandro Nivola Amy Adams Bradley Cooper Christian Bale Jennifer Lawrence Jeremy Renner Louis C.K. Robert De Niro,138
4358,a2896,b154,paterson,2016,Jim Jarmusch,Adam Driver Golshifteh Farahani Nellie Rizwan Manji,118,paterson,2016,Jim Jarmusch,Adam Driver Golshifteh Farahani,118
4372,a19,b155,star wars  episode iv   a new hope,1977,George Lucas,Mark Hamill Harrison Ford Carrie Fisher Alec Guinness,121,star wars  episode iv   a new hope,1977,George Lucas,Carrie Fisher Harrison Ford Mark Hamill,121
4406,a1925,b156,persepolis,2007,Vincent Paronnaud Marjane Satrapi,Chiara Mastroianni Catherine Deneuve Gena Rowlands Danielle Darrieux,96,persepolis,2007,Marjane Satrapi Vincent Paronnaud,Catherine Deneuve Chiara Mastroianni Gena Rowlands,96
4413,a294,b158,lost in translation,2003,Sofia Coppola,Bill Murray Scarlett Johansson Giovanni Ribisi Anna Faris,102,lost in translation,2003,Sofia Coppola,Bill Murray Giovanni Ribisi Scarlett Johansson,102
4783,a2646,b169,the remains of the day,1993,James Ivory,Anthony Hopkins Emma Thompson John Haycraft Christopher Reeve,134,howards end,1992,James Ivory,Anthony Hopkins Emma Thompson,140
4819,a349,b173,borat  cultural learnings of america for make benefit glorious nation of kazakhstan,2006,Larry Charles,Sacha Baron Cohen Ken Davitian Luenell Chester,84,borat  cultural learnings of america for make benefit glorious nation of kazakhstan,2006,Larry Charles,Ken Davitian Sacha Baron Cohen,84
4927,a341,b181,it s a wonderful life,1946,Frank Capra,James Stewart Donna Reed Lionel Barrymore Thomas Mitchell,130,it s a wonderful life,1947,Frank Capra,Donna Reed James Stewart,130
4998,a2038,b187,selma,2014,Ava DuVernay,David Oyelowo Carmen Ejogo Tim Roth Lorraine Toussaint,128,selma,2014,Ava DuVernay,Andre Holland Carmen Ejogo Common David Oyelowo Giovanni Ribisi Lorraine Toussaint Tim Roth Tom Wilkinson Wendell Pierce,128
5001,a654,b188,the artist,2011,Michel Hazanavicius,Jean Dujardin Bérénice Bejo John Goodman James Cromwell,100,the artist,2011,Michel Hazanavicius,,100
5007,a55,b189,eternal sunshine of the spotless mind,2004,Michel Gondry,Jim Carrey Kate Winslet Tom Wilkinson Gerry Robert Byrne,108,eternal sunshine of the spotless mind,2004,Michel Gondry,Jim Carrey Kate Winslet Tom Wilkinson,108
5009,a2101,b190,the piano,1993,Jane Campion,Holly Hunter Harvey Keitel Sam Neill Anna Paquin,121,the piano,1993,Jane Campion,Harvey Keitel Holly Hunter Sam Neill,121
5025,a44,b191,goodfellas,1990,Martin Scorsese,Robert De Niro Ray Liotta Joe Pesci Lorraine Bracco,146,goodfellas,1990,Martin Scorsese,Joe Pesci Lorraine Bracco Paul Sorvino Ray Liotta Robert De Niro,146
5094,a111,b192,blade runner,1982,Ridley Scott,Harrison Ford Rutger Hauer Sean Young Edward James Olmos,117,blade runner,1982,Ridley Scott,Harrison Ford Rutger Hauer Sean Young,117
5116,a1075,b193,letters from iwo jima,2006,Clint Eastwood,Ken Watanabe Kazunari Ninomiya Tsuyoshi Ihara Ryo Kase,141,letters from iwo jima,2006,Clint Eastwood,Ken Watanabe,141
5313,a1486,b196,once,2007,John Carney,Glen Hansard Markéta Irglová Hugh Walsh Gerard Hendrick,86,once,2007,John Carney,Glen Hansard Markéta Irglová,85
