id,name,release_year,runtime,director,actors
b75,One More Time with Feeling,2016,112,Andrew Dominik,None
b76,The Diving Bell and the Butterfly,2007,112,Julian Schnabel,_Emmanuelle Seigner_Marie-Josée Croze_Mathieu Amalric
b77,The Class,2008,128,Laurent Cantet,François Bégaudeau
b78,Raging Bull,1980,None,Martin Scorsese,_Cathy Moriarty_Joe Pesci_Robert De Niro
b79,Platoon,1987,120,Oliver Stone,_Tom Berenger_Willem Dafoe
b80,35 Shots of Rum,2009,100,Claire Denis,None
b81,Brother's Keeper,1992,104,_Bruce Sinofsky_Joe Berlinger,_Dave Goff_Delbert Ward_Harry Thurston_John Teeple_Joseph F. Loszynski_Ken Elmer_Lyman Ward_Ralph A. Cognetti_Roscoe Ward_Walt Geisler
b82,The Florida Project,2017,111,Sean Baker,_Aiden Malik_Bria Vinaite_Brooklynn Prince_Caleb Landry Jones_Christopher Rivera_Edward Pagan_Jasineia Ramos_Jason Blackwater_Josie Olivo_Karren Karagulian_Macon Blair_Patti Wiley_Sandy Kane_Valeria Cotto_Willem Dafoe
b83,Timbuktu,2015,97,Abderrahmane Sissako,_Abel Jafri_Ibrahim Ahmed_Layla Walet Mohamed_Mehdi A.G. Mohamed_Toulou Kiki
b84,Apocalypse Now Redux,2001,153,Francis Ford Coppola,_Marlon Brando_Martin Sheen
b85,Annie Hall,1977,93,Woody Allen,_Diane Keaton_Woody Allen
b86,The Lord of the Rings: The Fellowship of the Ring,2001,178,Peter Jackson,_Andy Serkis_Elijah Wood
b87,Foxtrot,2017,108,Samuel Maoz,_Aryeh Cherner_Dekel Adin_Gefen Barkai_Lior Ashkenazi_Rami Buzaglo_Ran Buxenbaum_Sarah Adler_Shaul Amir_Shira Haas_Yehuda Almagor_Yonaton Shiray
b88,Leviathan,2014,140,Andrei Zvyagintsev,_Aleksey Serebryakov_Roman Madyanov_Vladimir Vdovichenkov_Yelena Lyadova
b89,The Best Years of Our Lives,1946,170,William Wyler,_Cathy O'Donnell_Dana Andrews_Fredric March_Gladys George_Harold Russell_Hoagy Carmichael_Myrna Loy_Roman Bohnen_Teresa Wright_Virginia Mayo
b90,Werckmeister Harmonies,2001,145,_Ágnes Hranitzky_Béla Tarr,_Lars Rudolph_Peter Fitz
b91,Toy Story 3,2010,103,Lee Unkrich,_Tim Allen_Tom Hanks
b92,The Look of Silence,2015,103,Joshua Oppenheimer,None
b93,Tower,2016,96,Keith Maitland,None
b94,Moolaadé,2004,124,Ousmane Sembene,None
b95,Atanarjuat: The Fast Runner,2002,172,Zacharias Kunuk,_Natar Ungalaaq_Sylvia Ivalu
b96,After Life,1999,118,Hirokazu Koreeda,None
b97,Cool Hand Luke,1967,126,Stuart Rosenberg,_Clifton James_George Kennedy_J.D. Cannon_Jo Van Fleet_Lou Antonio_Luke Askew_Morgan Woodward_Paul Newman_Robert Drivas_Strother Martin
b98,The African Queen,1952,105,John Huston,_Errol John_Gerald Onn_Humphrey Bogart_Katharine Hepburn_Peter Bull_Peter Swanwick_Richard Marner_Robert Morley_Theodore Bikel_Walter Gotell
b99,The Triplets of Belleville,2003,78,Sylvain Chomet,_Jean-Claude Donda_Michel Robin_Michèle Caucheteux_Monica Viegas
b100,The Queen,2006,103,Stephen Frears,_Helen Mirren_James Cromwell
b101,Breaking Away,1979,101,Peter Yates,_Dennis Christopher_Dennis Quaid
b102,Young Mr. Lincoln,1939,100,John Ford,_Alice Brady_Arleen Whelan_Donald Meek_Eddie Collins_Eddie Quillan_Henry Fonda_Judith Dickens_Marjorie Weaver_Pauline Moore_Richard Cromwell
b103,Stories We Tell,2013,108,Sarah Polley,_Harry Gulkin_John Buchan_Susy Buchan
b104,Jafar Panahi's Taxi,2015,82,Jafar Panahi,None
b105,Beau Travail,2000,90,Claire Denis,_Denis Lavant_Grégoire Colin_Michel Subor
b106,Do the Right Thing,1989,120,Spike Lee,_Danny Aiello_Ossie Davis_Ruby Dee
b107,Waltz with Bashir,2008,90,Ari Folman,_Ari Folman_Ron Ben-Yishai_Ronny Dayag
b108,EX LIBRIS: The New York Public Library,2017,197,Frederick Wiseman,None
b109,Secrets & Lies,1996,136,Mike Leigh,_Brenda Blethyn_Timothy Spall
b110,Patton,1970,172,Franklin J. Schaffner,_George C. Scott_Karl Malden
b111,No Country for Old Men,2007,122,_Ethan Coen_Joel Coen,_Javier Bardem_Josh Brolin_Tommy Lee Jones
b112,The Gatekeepers,2013,101,Dror Moreh,_Ami Ayalon_Avi Dichter_Avraham Shalom_Carmi Gillon_Yaakov Peri_Yuval Diskin
b113,Nostalgia for the Light,2011,90,Patricio Guzmán,None
b114,Ida,2014,82,Pawel Pawlikowski,_Agata Kulesza_Agata Trzebuchowska_Dawid Ogrodnik_Jerzy Trela
b115,After Hours,1985,97,Martin Scorsese,_Griffin Dunne_Rosanna Arquette
b116,13th,2016,100,Ava DuVernay,None
b117,The Crying Game,1992,112,Neil Jordan,_Forest Whitaker_Jaye Davidson_Stephen Rea
b118,Winter's Bone,2010,100,Debra Granik,_Garret Dillahunt_Jennifer Lawrence_John Hawkes
b119,Gett: The Trial of Viviane Amsalem,2015,115,_Ronit Elkabetz_Shlomi Elkabetz,None
b120,I Called Him Morgan,2017,92,Kasper Collin,None
b121,Close Encounters of the Third Kind,1977,135,Steven Spielberg,_François Truffaut_Richard Dreyfuss_Teri Garr
b122,L.A. Confidential,1997,138,Curtis Hanson,_Guy Pearce_Kevin Spacey_Kim Basinger_Russell Crowe
b123,Bloody Sunday,2002,107,Paul Greengrass,_James Nesbitt_Nicholas Farrell_Tim Pigott-Smith
b124,My Voyage to Italy,2001,246,Martin Scorsese,Martin Scorsese
b125,Her,2013,126,Spike Jonze,_Amy Adams_Chris Pratt_Joaquin Phoenix_Olivia Wilde_Rooney Mara_Samantha Morton_Scarlett Johansson
b126,Badlands,1973,94,Terrence Malick,_Martin Sheen_Sissy Spacek
b127,Saving Private Ryan,1998,169,Steven Spielberg,_Matt Damon_Tom Hanks
b128,The Sweet Hereafter,1997,112,Atom Egoyan,_Ian Holm_Sarah Polley
b129,Paths of the Soul,2016,115,Yang Zhang,None
b130,It's Such a Beautiful Day,2012,62,Don Hertzfeldt,None
b131,My Perestroika,2011,88,Robin Hessman,None
b132,Finding Nemo,2003,100,_Andrew Stanton_Lee Unkrich,_Albert Brooks_Alexander Gould_Ellen DeGeneres
b133,This Is Not a Film,2012,75,_Jafar Panahi_Mojtaba Mirtahmasb,None
b134,Topsy-Turvy,1999,160,Mike Leigh,_Allan Corduner_Jim Broadbent
b135,King Kong,1933,100,_Ernest B. Schoedsack_Merian C. Cooper,_Bruce Cabot_Fay Wray_Frank Reicher_James Flavin_King Kong_Noble Johnson_Robert Armstrong_Sam Hardy_Steve Clemente_Walter Ackerman
b136,The Incredibles,2004,115,Brad Bird,_Craig T. Nelson_Holly Hunter_Jason Lee_Samuel L. Jackson
b137,Before Sunset,2004,80,Richard Linklater,_Ethan Hawke_Julie Delpy
b138,Being John Malkovich,1999,112,Spike Jonze,_Cameron Diaz_Catherine Keener_John Cusack_John Malkovich
b139,A Prophet,2010,155,Jacques Audiard,Tahar Rahim
b140,Hard to Be a God,2015,170,Aleksei German,None
b141,Almost Famous,2000,122,Cameron Crowe,Billy Crudup
b142,Phantom Thread,2017,130,Paul Thomas Anderson,_Bern Collaco_Camilla Rutherford_Cedric Tylleman_Daniel Day-Lewis_Dave Simon_Dinah Nicholson_Elli Banks_Harriet Leitch_Ingrid Sophie Schram_Jack Gordon_Jane Perry_Jason Redshaw_Joan Brown_Julie Duck_Kelly Schembri_Lesley Manville_Maryanne Frost_Pip Phillips_Richard Graham_Sarah Lamesch_Sue Clark_Vicky Krieps
b143,Big Men,2014,99,Rachel Boynton,None
b144,American Splendor,2003,101,_Robert Pulcini_Shari Springer Berman,_Harvey Pekar_Paul Giamatti_Shari Springer Berman
b145,Hannah and Her Sisters,1986,103,Woody Allen,_Barbara Hershey_Dianne Wiest_Mia Farrow_Michael Caine_Woody Allen
b146,Gosford Park,2001,137,Robert Altman,_Maggie Smith_Ryan Phillippe
b147,The Fits,2016,72,Anna Rose Holmer,Royalty Hightower
b148,United 93,2006,111,Paul Greengrass,_David Alan Basche_Liza Colón-Zayas
b149,Mad Max: Fury Road,2015,120,George Miller,_Charlize Theron_John Howard_Nathan Jones_Nicholas Hoult_Riley Keough_Tom Hardy_Zoë Kravitz
b150,Downhill Racer,1969,101,Michael Ritchie,_Camilla Sparv_Dabney Coleman_Gene Hackman_Jerry Dexter_Jim McMullan_Karl Michael Vogler_Kathleen Crowley_Kenneth Kirk_Oren Stevens_Robert Redford
b151,Capturing the Friedmans,2003,107,Andrew Jarecki,_Arnold Friedman_David Friedman_Elaine Friedman_Jesse Friedman
b152,The Truman Show,1998,103,Peter Weir,Jim Carrey
b153,American Hustle,2013,138,David O. Russell,_Alessandro Nivola_Amy Adams_Bradley Cooper_Christian Bale_Jennifer Lawrence_Jeremy Renner_Louis C.K._Robert De Niro
b154,Paterson,2016,118,Jim Jarmusch,_Adam Driver_Golshifteh Farahani
b155,Star Wars: Episode IV - A New Hope,1977,121,George Lucas,_Carrie Fisher_Harrison Ford_Mark Hamill
b156,Persepolis,2007,96,_Marjane Satrapi_Vincent Paronnaud,_Catherine Deneuve_Chiara Mastroianni_Gena Rowlands
b157,The Act of Killing,2013,115,_Anonymous_Christine Cynn_Joshua Oppenheimer,Anwar Congo
b158,Lost in Translation,2003,102,Sofia Coppola,_Bill Murray_Giovanni Ribisi_Scarlett Johansson
b159,The Best of Youth,2005,180,Marco Tullio Giordana,_Alessio Boni_Jasmine Trinca_Luigi Lo Cascio
b160,Hereditary,2018,126,Ari Aster,_Alex Wolff_Ann Dowd_Austin R. Grant_Gabriel Byrne_Gabriel Monroe Eckert_Jake Brown_Jarrod Phillips_John Forker_Mallory Bechtel_Marilyn Miller_Mark Blockovich_Milly Shapiro_Rachelle Hardy_Toni Collette_Zachary Arthur
b161,The Overnighters,2014,102,Jesse Moss,Jay Reinke
b162,The Lives of Others,2006,137,Florian Henckel von Donnersmarck,_Martina Gedeck_Sebastian Koch_Ulrich Mühe
b163,4 Little Girls,1997,102,Spike Lee,_Chris McNair_Fred Shuttlesworth_Howell Raines_Maxine McNair_Wamo Reed Robertson_Wyatt Tee Walker
b164,House of Flying Daggers,2004,119,Yimou Zhang,_Andy Lau_Takeshi Kaneshiro_Ziyi Zhang
b165,Columbus,2017,100,Kogonada,_Alphaeus Green Jr._Caitlin Ewald_Erin Allegretti_Haley Lu Richardson_Jim Dougherty_John Cho_Michelle Forbes_Parker Posey_Rory Culkin_Wynn Reichert
b166,Searching for Bobby Fischer,1993,109,Steven Zaillian,_Ben Kingsley_David Paymer_Hal Scardino_Joan Allen_Joe Mantegna_Laurence Fishburne_Max Pomeranc_Michael Nirenberg_Robert Stephens_Vasek Simek
b167,Assault on Precinct 13,1976,91,John Carpenter,_Austin Stoker_Darwin Joston_Laurie Zimmer
b168,Man on Wire,2008,94,James Marsh,Philippe Petit
b169,Howards End,1992,140,James Ivory,_Anthony Hopkins_Emma Thompson
b170,Still Walking,2009,114,Hirokazu Koreeda,None
b171,Gangs of Wasseypur,2015,None,Anurag Kashyap,None
b172,The Last Detail,1973,104,Hal Ashby,_Jack Nicholson_Randy Quaid
b173,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,2006,84,Larry Charles,_Ken Davitian_Sacha Baron Cohen
b174,Elle,2016,130,Paul Verhoeven,_Anne Consigny_Charles Berling_Isabelle Huppert_Laurent Lafitte
b175,The Tale of The Princess Kaguya,2014,137,Isao Takahata,_Chloë Grace Moretz_James Caan_James Marsden_Mary Steenburgen
b176,Uncertain,2017,82,_Anna Sandilands_Ewan McNicol,None
b177,Son of Saul,2015,107,László Nemes,_Géza Röhrig_Levente Molnár_Todd Charmont_Urs Rechn
b178,"Two Days, One Night",2014,95,_Jean-Pierre Dardenne_Luc Dardenne,_Alain Eloy_Batiste Sornin_Catherine Salée_Fabrizio Rongione_Lara Persain_Marion Cotillard_Pili Groyne_Simon Caudry
b179,National Gallery,2014,180,Frederick Wiseman,None
b180,No End in Sight,2007,102,Charles Ferguson,None
b181,It's a Wonderful Life,1947,130,Frank Capra,_Donna Reed_James Stewart
b182,The Madness of King George,1994,104,Nicholas Hytner,_Amanda Donohoe_Cassandra Halliburton_Charlotte Curley_Eve Camden_Helen Mirren_Joanna Hall_Peter Bride-Kirk_Rupert Graves_Thomas Copeland
b183,Phoenix,2015,98,Christian Petzold,_Felix Römer_Imogen Kogge_Michael Maertens_Nina Hoss_Nina Kunzendorf_Ronald Zehrfeld_Trystan Pütter_Uwe Preuss
b184,Goodbye Solo,2009,91,Ramin Bahrani,_Red West_Souleymane Sy Savane
b185,Western,2015,92,_Bill Ross IV_Turner Ross,None
b186,Stop Making Sense,1984,88,Jonathan Demme,David Byrne
b187,Selma,2014,128,Ava DuVernay,_Andre Holland_Carmen Ejogo_Common_David Oyelowo_Giovanni Ribisi_Lorraine Toussaint_Tim Roth_Tom Wilkinson_Wendell Pierce
b188,The Artist,2011,100,Michel Hazanavicius,None
b189,Eternal Sunshine of the Spotless Mind,2004,108,Michel Gondry,_Jim Carrey_Kate Winslet_Tom Wilkinson
b190,The Piano,1993,121,Jane Campion,_Harvey Keitel_Holly Hunter_Sam Neill
b191,Goodfellas,1990,146,Martin Scorsese,_Joe Pesci_Lorraine Bracco_Paul Sorvino_Ray Liotta_Robert De Niro
b192,Blade Runner,1982,117,Ridley Scott,_Harrison Ford_Rutger Hauer_Sean Young
b193,Letters from Iwo Jima,2006,141,Clint Eastwood,Ken Watanabe
b194,The Seventh Continent (1989),,104,Michael Haneke,_Birgit Doll_Dieter Berner_Elisabeth Rath_Georg Friedrich_Georges Kern_Leni Tanzer_Meat Loaf_Robert Dietl_Silvia Fenz_Udo Samel
b195,The Death of Stalin,2018,106,Armando Iannucci,_Adrian McLoughlin_Andrea Riseborough_Jason Isaacs_Jeffrey Tambor_Jonathan Aris_Justin Edwards_Michael Palin_Olga Kurylenko_Paddy Considine_Paul Ready_Richard Brake_Roger Ashton-Griffiths_Rupert Friend_Simon Russell Beale_Steve Buscemi_Sylvestra Le Touzel_Tom Brooke_Yulya Muhrygina
b196,Once,2007,85,John Carney,_Glen Hansard_Markéta Irglová
b197,The Arbor,2011,94,Clio Barnard,None
b198,The Tale,,114,Jennifer Fox,_Chelsea Alden_Common_Elizabeth Debicki_Ellen Burstyn_Frances Conroy_Isabella Amara_Jason Ritter_John Heard_Laura Allen_Laura Dern
b199,Democrats,2015,100,Camilla Nielsson,None
b200,Ghost World,2001,111,Terry Zwigoff,_Steve Buscemi_Thora Birch
b201,Brazil,1985,132,Terry Gilliam,_Jonathan Pryce_Kim Greist_Robert De Niro
b202,Y Tu Mamá También,2002,106,Alfonso Cuarón,_Gael García Bernal_Maribel Verdú
b203,Paddington 2,2018,103,Paul King,_Ben Miller_Ben Whishaw_Brendan Gleeson_Daniel Stisen_Helena Holmes_Hugh Bonneville_Hugh Grant_Imelda Staunton_Jessica Hynes_Jim Broadbent_Julie Walters_Madeleine Harris_Marie-France Alvarez_Michael Gambon_Noah Taylor_Peter Capaldi_Richard Ayoade_Sally Hawkins_Samuel Joslin
b204,On the Waterfront,1954,108,Elia Kazan,_Karl Malden_Marlon Brando
b205,Capote,2005,114,Bennett Miller,_Catherine Keener_Philip Seymour Hoffman
b206,Tulpan,2009,100,Sergei Dvortsevoy,None
b207,Manuscripts Don't Burn,2014,125,Mohammad Rasoulof,None
b208,In Transit,2017,76,_Albert Maysles_Benjamin Wu_David Usui_Lynn True_Nelson Walker III,None
b209,Whiplash,2014,107,Damien Chazelle,_J.K. Simmons_Melissa Benoist_Miles Teller_Paul Reiser
b210,"Three Billboards Outside Ebbing, Missouri",2017,115,Martin McDonagh,_Abbie Cornish_Alejandro Barrios_Caleb Landry Jones_Clarke Peters_Darrell Britt-Gibson_Frances McDormand_Jason Redford_John Hawkes_Kathryn Newton_Kerry Condon_Lucas Hedges_Peter Dinklage_Riya May Atwood_Sam Rockwell_Samara Weaving_Woody Harrelson_Zeljko Ivanek
b211,Quest,2017,104,Jonathan Olshefski,_Adia Dillon_Christine'a Rainey_Christopher Rainey_David Barnes_Isaiah Byrd_James Blakely_Nicole Byrd_P.J. Rainey_Price_William Withers
b212,A Film Unfinished,2010,88,Yael Hersonski,_Alexander Beyer_Rüdiger Vogler
b213,Things to Come,2016,102,Mia Hansen-Løve,None
b214,The Grand Budapest Hotel,2014,100,Wes Anderson,_Adrien Brody_Bill Murray_Edward Norton_F. Murray Abraham_Harvey Keitel_Jeff Goldblum_Jude Law_Léa Seydoux_Mathieu Amalric_Ralph Fiennes_Saoirse Ronan_Willem Dafoe
b215,Winter Sleep,2014,196,Nuri Bilge Ceylan,None
b216,Blue Is the Warmest Color,2013,179,Abdel Kechiche,_Ad_Alma Jodorowsky_Anne Loiret_Aurélien Recoing_Benjamin Siksou_Beno_Catherine Salée_Jeremie Laheurte_Léa Seydoux_Mona Walravens_Salim Kechiouche_Sandor Funtek
b217,Citizenfour,2014,114,Laura Poitras,_Edward Snowden_Glenn Greenwald
b218,Time Out,2002,134,Laurent Cantet,_Aurélien Recoing_Karin Viard
b219,The Blue Angel (re-release),2001,124,Josef von Sternberg,_Emil Jannings_Hans Albers_Kurt Gerron_Marlene Dietrich_Rosa Valetti
b220,Thelma & Louise,1991,130,Ridley Scott,_Geena Davis_Susan Sarandon
b221,Away from Her,2007,110,Sarah Polley,_Gordon Pinsent_Julie Christie
b222,The Fallen Idol (re-release),2006,95,Carol Reed,_Michèle Morgan_Ralph Richardson
b223,Network,1976,121,Sidney Lumet,_Faye Dunaway_Peter Finch_William Holden
b224,Inside Job,2010,120,Charles Ferguson,Matt Damon
b225,Three Colors: White,1994,91,Krzysztof Kieslowski,_Julie Delpy_Zbigniew Zamachowski
